FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2020,1,-99,-99,5,-99,15,17,-99,-99,12,37,5,-99,1,-99,6,11,-99,8,-99,2,-99,1,2,12,4,1,-99,26,20,18,1,3,50,28
1/1/2020,2,-99,-99,13,-99,16,10,-99,-99,10,14,14,-99,7,-99,11,20,-99,10,-99,2,-99,1,3,1,9,3,-99,22,7,25,2,5,45,76
1/1/2020,3,-99,-99,25,-99,48,8,-99,-99,5,24,21,-99,22,-99,22,51,-99,14,-99,2,-99,1,12,2,7,1,-99,14,14,37,2,6,76,77
1/1/2020,4,-99,-99,24,-99,48,12,-99,-99,13,40,27,-99,32,-99,29,29,-99,53,-99,2,-99,1,11,1,4,2,-99,7,23,70,2,2,71,57
1/1/2020,5,-99,-99,17,-99,33,8,-99,-99,4,26,29,-99,42,-99,12,46,-99,39,-99,2,-99,2,19,1,5,1,-99,4,10,73,2,2,66,25
1/1/2020,6,-99,-99,16,-99,38,7,-99,-99,1,24,13,-99,29,-99,14,95,-99,43,-99,1,-99,30,12,1,17,2,-99,3,9,52,3,2,95,40
1/1/2020,7,-99,-99,14,-99,49,4,-99,-99,1,13,13,-99,41,-99,42,78,-99,61,-99,1,-99,9,3,3,93,2,-99,4,22,33,1,4,72,38
1/1/2020,8,-99,-99,22,-99,57,7,-99,-99,3,13,18,-99,47,-99,61,119,-99,113,-99,1,-99,3,3,3,38,4,-99,4,26,61,1,16,60,64
1/1/2020,9,-99,-99,9,-99,39,10,-99,-99,4,35,16,-99,52,-99,38,52,-99,57,-99,2,-99,5,5,2,5,7,-99,7,36,39,6,12,33,32
1/1/2020,10,-99,-99,10,-99,8,7,-99,-99,6,15,13,-99,9,-99,10,6,-99,4,-99,1,-99,3,5,1,3,5,-99,3,12,10,3,2,15,5
1/1/2020,11,-99,-99,3,-99,2,3,-99,-99,4,3,4,-99,3,-99,2,2,-99,3,-99,1,-99,1,2,0,2,3,-99,1,3,3,0,1,5,4
1/1/2020,12,-99,-99,1,-99,0,1,-99,-99,3,2,2,-99,1,-99,2,1,-99,1,-99,1,-99,0,1,1,2,1,-99,1,1,3,0,1,2,2
1/1/2020,13,-99,-99,0,-99,0,0,-99,-99,2,1,2,-99,1,-99,3,1,-99,1,-99,1,-99,1,0,1,2,1,-99,1,1,2,0,1,2,1
1/1/2020,14,-99,-99,1,-99,0,0,-99,-99,2,1,2,-99,1,-99,2,1,-99,1,-99,4,-99,0,0,1,2,1,-99,1,2,2,0,1,3,2
1/1/2020,15,-99,-99,1,-99,0,0,-99,-99,1,1,1,-99,1,-99,3,1,-99,1,-99,2,-99,0,0,1,3,1,-99,1,2,2,0,1,2,3
1/1/2020,16,-99,-99,1,-99,0,0,-99,-99,1,1,2,-99,1,-99,-99,1,-99,1,-99,1,-99,0,0,1,3,1,-99,1,1,2,0,1,3,2
1/1/2020,17,-99,-99,1,-99,0,0,-99,-99,1,1,2,-99,1,-99,-99,1,-99,1,-99,2,-99,0,0,1,3,1,-99,1,0,2,0,1,2,2
1/1/2020,18,-99,-99,1,-99,0,0,-99,-99,2,1,2,-99,0,-99,-99,1,-99,2,-99,1,-99,0,0,1,2,1,-99,1,1,1,0,0,2,3
1/1/2020,19,-99,-99,1,-99,0,1,-99,-99,2,1,3,-99,0,-99,-99,1,-99,2,-99,1,-99,0,0,1,3,1,-99,1,0,2,0,0,2,2
1/1/2020,20,-99,-99,1,-99,0,1,-99,-99,2,0,3,-99,1,-99,-99,1,-99,2,-99,1,-99,0,0,1,4,1,-99,1,0,2,0,0,2,2
1/1/2020,21,-99,-99,1,-99,0,0,-99,-99,1,1,3,-99,1,-99,-99,1,-99,4,-99,1,-99,0,0,1,4,0,-99,1,0,1,0,0,3,2
1/1/2020,22,-99,-99,0,-99,0,2,-99,-99,1,1,2,-99,0,-99,-99,1,-99,5,-99,1,-99,0,0,1,5,0,-99,1,0,3,0,1,3,2
1/1/2020,23,-99,-99,0,-99,0,2,-99,-99,1,2,3,-99,0,-99,-99,2,-99,5,-99,1,-99,0,3,0,5,0,-99,1,0,1,0,1,4,2
1/1/2020,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,4,-99,-99,0,-99,0,0,-99,-99,0,0,1,-99,-99,-99,1,5,-99,1,-99,2,-99,0,0,0,-99,1,-99,1,1,1,0,0,1,-99
1/2/2020,5,-99,-99,0,-99,0,0,-99,-99,0,0,3,-99,-99,-99,1,2,-99,1,-99,2,-99,1,0,0,-99,0,-99,1,2,1,0,1,1,-99
1/2/2020,6,-99,-99,19,-99,1,0,-99,-99,1,1,2,-99,-99,-99,2,1,-99,5,-99,2,-99,2,0,0,-99,1,-99,2,6,2,0,1,2,-99
1/2/2020,7,-99,-99,20,-99,53,1,-99,-99,2,7,20,-99,-99,-99,7,7,-99,8,-99,3,-99,8,0,1,-99,2,-99,2,25,2,0,1,7,-99
1/2/2020,8,-99,-99,39,-99,117,4,-99,-99,2,61,11,-99,-99,-99,8,20,-99,6,-99,4,-99,9,1,1,-99,6,-99,3,16,2,0,2,28,-99
1/2/2020,9,-99,-99,19,-99,15,6,-99,-99,2,31,5,-99,-99,-99,8,16,-99,10,-99,4,-99,10,1,3,-99,5,-99,3,19,4,1,4,37,-99
1/2/2020,10,-99,-99,4,-99,7,6,-99,-99,3,4,7,-99,-99,-99,8,7,-99,6,-99,3,-99,6,2,2,-99,4,-99,2,17,10,1,4,17,-99
1/2/2020,11,-99,-99,3,-99,6,4,-99,-99,4,3,4,-99,-99,-99,5,6,-99,5,-99,3,-99,4,1,4,8,2,-99,2,9,9,1,3,10,-99
1/2/2020,12,-99,-99,2,-99,2,2,-99,-99,3,3,4,-99,-99,-99,5,5,-99,8,-99,3,-99,4,0,3,7,2,-99,2,4,5,1,3,6,-99
1/2/2020,13,-99,-99,1,-99,1,1,-99,-99,3,3,3,-99,-99,-99,4,6,-99,14,-99,3,-99,3,1,3,5,2,-99,2,4,5,1,3,5,-99
1/2/2020,14,-99,-99,2,-99,1,0,-99,-99,3,3,3,-99,-99,-99,3,6,-99,14,-99,3,-99,3,0,3,3,2,-99,2,5,3,1,3,4,-99
1/2/2020,15,-99,-99,1,-99,2,0,-99,-99,3,3,4,-99,-99,-99,3,8,-99,13,-99,2,-99,3,0,4,3,2,-99,1,6,4,1,3,-99,11
1/2/2020,16,-99,-99,1,-99,1,0,-99,-99,3,2,3,-99,-99,-99,3,8,-99,12,-99,2,-99,3,0,4,3,2,-99,1,5,3,1,3,5,13
1/2/2020,17,-99,-99,1,-99,2,0,-99,-99,3,2,3,-99,-99,-99,3,7,-99,11,-99,2,-99,4,0,5,3,2,-99,1,5,2,0,2,3,13
1/2/2020,18,-99,-99,1,-99,2,0,-99,-99,2,1,6,-99,-99,-99,4,8,-99,9,-99,2,-99,3,0,4,5,2,-99,2,5,2,0,2,4,13
1/2/2020,19,-99,-99,1,-99,1,5,-99,-99,2,2,9,-99,-99,-99,10,5,-99,14,-99,3,-99,2,0,3,7,2,-99,2,3,2,0,1,4,10
1/2/2020,20,-99,-99,1,-99,0,0,-99,-99,2,2,9,-99,-99,-99,13,7,-99,23,-99,2,-99,3,0,3,8,1,-99,1,3,2,0,1,6,32
1/2/2020,21,-99,-99,1,-99,0,0,-99,-99,2,3,18,-99,-99,-99,6,5,-99,17,-99,1,-99,1,0,3,6,1,-99,1,2,1,0,1,2,23
1/2/2020,22,-99,-99,0,-99,0,0,-99,-99,1,9,11,-99,-99,-99,5,3,-99,11,-99,1,-99,2,0,2,6,0,-99,1,2,1,0,1,1,9
1/2/2020,23,-99,-99,0,-99,0,1,-99,-99,1,4,4,-99,-99,-99,9,2,-99,10,-99,1,-99,2,0,1,6,0,-99,1,2,1,0,1,2,8
1/2/2020,24,-99,-99,0,-99,0,0,-99,-99,1,1,6,-99,-99,-99,5,1,-99,5,-99,1,-99,1,0,1,2,0,-99,1,2,1,0,0,1,6
1/3/2020,1,-99,1,0,-99,0,0,-99,-99,0,5,2,-99,-99,-99,2,1,-99,3,-99,1,-99,1,0,0,1,0,-99,0,1,1,0,0,1,5
1/3/2020,2,-99,0,0,-99,0,0,-99,-99,0,2,0,-99,-99,-99,1,0,-99,2,-99,1,-99,0,0,0,0,0,-99,1,1,1,0,0,1,4
1/3/2020,3,-99,2,0,-99,0,0,-99,-99,0,1,0,-99,-99,-99,1,0,-99,3,-99,1,-99,0,0,0,1,0,-99,0,0,0,0,0,1,13
1/3/2020,4,-99,0,0,-99,3,0,-99,-99,0,1,0,-99,-99,-99,1,4,-99,2,-99,1,-99,0,0,0,0,0,-99,1,0,1,0,0,1,7
1/3/2020,5,-99,1,0,-99,0,0,-99,-99,1,4,0,-99,-99,-99,1,12,-99,6,-99,1,-99,4,0,0,5,1,-99,1,1,1,3,1,1,11
1/3/2020,6,-99,0,1,-99,0,1,-99,-99,1,24,1,-99,-99,-99,13,12,-99,29,-99,1,-99,2,0,0,11,2,-99,1,3,1,2,2,4,32
1/3/2020,7,-99,1,22,-99,31,3,-99,-99,2,50,23,-99,-99,-99,37,53,-99,93,-99,2,-99,3,1,1,21,5,-99,3,38,3,3,22,12,49
1/3/2020,8,-99,1,64,-99,136,8,-99,-99,24,114,73,-99,-99,-99,51,83,-99,138,-99,5,-99,6,12,4,22,26,-99,8,70,25,9,35,12,77
1/3/2020,9,-99,4,113,-99,143,16,-99,-99,32,148,101,-99,-99,-99,22,52,-99,50,-99,15,-99,46,13,86,33,53,-99,10,98,100,27,18,98,36
1/3/2020,10,-99,12,42,-99,64,42,-99,-99,27,59,55,-99,-99,-99,21,37,-99,31,-99,8,-99,32,32,39,26,16,-99,14,49,115,14,26,64,44
1/3/2020,11,-99,12,12,-99,37,19,-99,-99,7,25,29,-99,-99,-99,19,17,-99,20,-99,3,-99,29,16,17,-99,7,-99,9,50,38,-99,18,28,35
1/3/2020,12,-99,15,9,-99,14,11,-99,-99,6,20,23,-99,-99,-99,13,9,-99,12,-99,2,-99,9,7,3,-99,8,-99,5,24,17,-99,10,21,16
1/3/2020,13,-99,5,6,-99,8,4,-99,-99,8,17,14,-99,-99,-99,8,5,-99,8,-99,2,-99,4,2,1,-99,6,-99,2,15,14,-99,4,13,9
1/3/2020,14,-99,3,4,-99,7,2,-99,-99,3,9,12,-99,-99,-99,3,3,-99,4,-99,2,-99,3,1,1,-99,3,-99,2,15,9,-99,3,6,5
1/3/2020,15,-99,3,3,-99,4,2,-99,-99,3,6,7,-99,-99,-99,3,3,-99,7,-99,2,-99,3,2,1,3,1,-99,3,11,8,-99,2,4,3
