FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2020,1,-99,-99,27,34,26,30,-99,-99,34,31,28,29,31,28,-99,30,38,-99,32,-99,15,3,27,27,34,31,15,-99,36,35,32,22,34,32,41
1/1/2020,2,-99,-99,27,33,27,28,-99,-99,30,27,31,33,30,35,-99,33,38,-99,31,-99,9,2,24,29,18,36,19,-99,34,29,32,26,33,32,40
1/1/2020,3,-99,-99,30,32,28,26,-99,-99,21,27,32,31,29,34,-99,35,41,-99,29,-99,12,2,25,32,16,33,13,-99,28,31,34,22,32,34,39
1/1/2020,4,-99,-99,28,26,28,25,-99,-99,31,26,30,18,33,31,-99,35,37,-99,29,-99,9,1,21,31,8,24,14,-99,22,30,33,17,19,30,38
1/1/2020,5,-99,-99,27,30,30,25,-99,-99,14,22,27,24,32,30,-99,29,33,-99,30,-99,7,1,23,29,6,26,12,-99,18,29,31,18,19,30,33
1/1/2020,6,-99,-99,26,27,28,22,-99,-99,7,17,24,27,27,30,-99,29,31,-99,29,-99,6,1,28,27,6,26,11,-99,13,27,30,16,19,23,31
1/1/2020,7,-99,-99,27,27,26,19,-99,-99,6,16,23,22,26,28,-99,28,29,-99,29,-99,6,1,20,21,14,27,12,-99,12,26,26,12,23,21,27
1/1/2020,8,-99,-99,25,24,26,17,-99,-99,14,14,21,13,26,28,-99,29,28,-99,31,-99,5,2,15,18,10,24,15,-99,11,24,26,10,25,20,28
1/1/2020,9,-99,-99,21,33,38,17,-99,-99,9,23,21,10,26,43,-99,38,32,-99,33,-99,4,2,10,14,6,14,12,-99,11,29,44,14,20,30,27
1/1/2020,10,-99,-99,26,23,22,20,-99,-99,9,48,28,6,20,22,-99,27,11,-99,11,-99,2,2,6,18,4,9,11,-99,7,23,22,10,6,35,17
1/1/2020,11,-99,-99,13,6,11,11,-99,-99,10,25,12,3,8,10,-99,6,5,-99,9,-99,2,2,3,15,3,5,11,-99,3,9,7,2,5,9,14
1/1/2020,12,-99,-99,6,4,2,4,-99,-99,9,7,9,3,3,3,-99,4,4,-99,3,-99,2,2,3,9,3,5,7,-99,2,5,7,2,4,4,10
1/1/2020,13,-99,-99,3,3,3,4,-99,-99,5,4,5,3,3,4,-99,5,4,-99,3,-99,2,1,3,5,4,5,5,-99,3,4,5,2,4,4,12
1/1/2020,14,-99,-99,2,3,3,2,-99,-99,2,4,2,3,4,4,-99,6,4,-99,3,-99,7,1,3,5,4,6,2,-99,3,4,4,3,4,4,13
1/1/2020,15,-99,-99,2,4,4,1,-99,-99,2,3,2,3,5,5,-99,7,4,-99,3,-99,3,1,3,4,4,7,3,-99,4,3,3,3,5,5,17
1/1/2020,16,-99,-99,3,4,4,2,-99,-99,3,3,3,3,5,6,-99,-99,5,-99,4,-99,3,1,4,3,4,8,3,-99,3,3,4,3,5,5,18
1/1/2020,17,-99,-99,3,4,5,2,-99,-99,3,3,3,4,6,5,-99,-99,5,-99,4,-99,4,1,5,3,6,9,3,-99,3,3,4,3,5,5,18
1/1/2020,18,-99,-99,3,6,5,1,-99,-99,4,4,4,6,8,6,-99,-99,7,-99,7,-99,5,2,6,4,5,10,3,-99,3,4,4,4,5,7,21
1/1/2020,19,-99,-99,6,8,7,8,-99,-99,6,8,7,8,11,8,-99,-99,10,-99,9,-99,6,2,9,5,7,14,3,-99,4,4,8,3,7,9,21
1/1/2020,20,-99,-99,6,8,8,9,-99,-99,5,11,7,13,12,9,-99,-99,14,-99,10,-99,6,2,12,6,8,19,4,-99,5,5,10,3,8,11,23
1/1/2020,21,-99,-99,5,9,7,7,-99,-99,4,13,8,12,12,9,-99,-99,13,-99,12,-99,6,4,9,6,8,16,3,-99,6,6,9,3,8,13,23
1/1/2020,22,-99,-99,4,11,9,10,-99,-99,5,10,5,13,15,9,-99,-99,15,-99,15,-99,5,4,9,9,8,19,3,-99,7,6,11,4,10,14,24
1/1/2020,23,-99,-99,3,11,9,12,-99,-99,6,14,8,14,14,11,-99,-99,17,-99,14,-99,5,2,10,19,6,18,5,-99,8,10,11,5,9,18,20
1/1/2020,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
