FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2020,1,-99,-99,32,-99,41,47,-99,-99,46,68,33,-99,29,-99,36,49,-99,40,-99,17,-99,28,28,46,35,16,-99,61,55,50,23,37,82,70
1/1/2020,2,-99,-99,41,-99,43,38,-99,-99,40,41,45,-99,42,-99,43,58,-99,41,-99,11,-99,25,32,19,45,23,-99,55,36,57,28,38,77,116
1/1/2020,3,-99,-99,55,-99,76,35,-99,-99,27,51,53,-99,56,-99,57,92,-99,43,-99,15,-99,26,42,18,39,15,-99,41,45,71,23,37,110,116
1/1/2020,4,-99,-99,52,-99,76,37,-99,-99,43,65,58,-99,63,-99,64,66,-99,83,-99,11,-99,22,42,9,29,16,-99,28,53,103,19,22,100,96
1/1/2020,5,-99,-99,44,-99,63,33,-99,-99,19,48,55,-99,72,-99,41,79,-99,69,-99,8,-99,25,47,6,31,13,-99,21,40,104,20,21,96,58
1/1/2020,6,-99,-99,42,-99,66,29,-99,-99,9,41,37,-99,59,-99,43,125,-99,73,-99,7,-99,58,38,7,43,12,-99,14,36,82,19,22,118,71
1/1/2020,7,-99,-99,41,-99,76,24,-99,-99,7,29,36,-99,69,-99,71,107,-99,91,-99,7,-99,29,23,17,119,14,-99,14,48,60,13,26,94,65
1/1/2020,8,-99,-99,47,-99,82,24,-99,-99,17,27,39,-99,75,-99,90,147,-99,144,-99,6,-99,18,20,13,62,19,-99,14,50,87,11,41,80,92
1/1/2020,9,-99,-99,30,-99,77,27,-99,-99,13,58,37,-99,95,-99,77,85,-99,90,-99,6,-99,16,18,8,19,18,-99,16,65,83,20,32,63,59
1/1/2020,10,-99,-99,36,-99,30,28,-99,-99,15,63,40,-99,31,-99,37,16,-99,15,-99,3,-99,9,23,6,12,16,-99,10,35,33,13,9,50,22
1/1/2020,11,-99,-99,16,-99,13,14,-99,-99,15,28,16,-99,13,-99,8,7,-99,12,-99,3,-99,5,16,3,8,14,-99,4,12,10,3,6,14,17
1/1/2020,12,-99,-99,7,-99,3,6,-99,-99,12,9,11,-99,4,-99,7,5,-99,4,-99,3,-99,3,9,3,7,8,-99,3,7,10,2,5,7,12
1/1/2020,13,-99,-99,4,-99,3,5,-99,-99,7,5,7,-99,5,-99,8,5,-99,4,-99,3,-99,3,4,5,7,6,-99,3,5,6,2,5,6,13
1/1/2020,14,-99,-99,3,-99,3,2,-99,-99,4,5,4,-99,5,-99,8,5,-99,4,-99,11,-99,3,4,5,9,4,-99,3,6,6,3,5,6,15
1/1/2020,15,-99,-99,3,-99,4,1,-99,-99,4,4,4,-99,6,-99,9,5,-99,4,-99,5,-99,4,3,5,10,4,-99,4,5,5,3,6,7,20
1/1/2020,16,-99,-99,3,-99,4,2,-99,-99,4,3,5,-99,7,-99,-99,5,-99,5,-99,5,-99,4,2,5,11,4,-99,3,4,5,3,6,8,20
1/1/2020,17,-99,-99,3,-99,5,2,-99,-99,4,4,5,-99,6,-99,-99,7,-99,5,-99,5,-99,6,2,7,11,4,-99,3,3,6,3,5,7,20
1/1/2020,18,-99,-99,4,-99,5,1,-99,-99,6,5,6,-99,7,-99,-99,8,-99,9,-99,6,-99,6,3,6,12,4,-99,3,5,6,3,5,9,24
1/1/2020,19,-99,-99,7,-99,7,9,-99,-99,7,8,10,-99,8,-99,-99,11,-99,11,-99,7,-99,8,4,8,17,4,-99,4,4,10,3,7,11,24
1/1/2020,20,-99,-99,7,-99,8,10,-99,-99,7,11,9,-99,10,-99,-99,15,-99,13,-99,8,-99,12,5,9,23,5,-99,5,5,12,3,8,13,26
1/1/2020,21,-99,-99,6,-99,8,7,-99,-99,5,14,11,-99,9,-99,-99,14,-99,16,-99,7,-99,9,5,9,20,4,-99,6,6,11,3,9,15,25
1/1/2020,22,-99,-99,4,-99,9,11,-99,-99,6,11,7,-99,10,-99,-99,16,-99,21,-99,6,-99,10,8,8,25,4,-99,7,7,14,3,10,17,27
1/1/2020,23,-99,-99,4,-99,9,14,-99,-99,7,16,11,-99,11,-99,-99,18,-99,19,-99,6,-99,10,21,7,23,5,-99,8,10,12,4,10,22,22
1/1/2020,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
