FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2020,1,-99,-99,11,1,3,2,-99,7,2,6,2,3,0,3,-99,1,4,4,2,2,5,2,2,-99,1,-99,4,15,13,1,3,7,-99
1/1/2020,2,-99,-99,8,1,5,1,-99,7,1,4,4,3,0,3,-99,1,3,3,2,0,6,2,2,-99,1,-99,4,13,13,1,3,9,-99
1/1/2020,3,-99,-99,7,1,5,1,-99,3,2,4,4,4,0,5,-99,1,3,3,3,0,5,2,2,-99,1,-99,3,10,15,1,3,14,-99
1/1/2020,4,-99,-99,5,1,4,2,-99,4,2,2,3,6,1,5,-99,1,5,3,2,1,4,2,2,-99,1,-99,3,9,13,2,3,12,-99
1/1/2020,5,-99,-99,5,2,4,1,-99,2,2,2,2,5,1,4,-99,1,6,3,1,1,3,2,1,-99,1,-99,2,8,10,1,3,11,-99
1/1/2020,6,-99,-99,3,1,3,1,-99,1,1,2,2,5,1,4,-99,1,4,2,1,1,3,2,1,-99,1,-99,2,6,8,2,2,9,-99
1/1/2020,7,-99,-99,2,1,3,1,-99,1,1,2,2,4,0,4,-99,1,4,2,1,1,2,2,1,-99,1,-99,1,5,6,2,2,8,2
1/1/2020,8,-99,-99,2,1,3,1,-99,1,1,2,1,4,1,4,-99,1,5,3,1,1,2,1,1,-99,1,-99,1,5,7,1,2,6,3
1/1/2020,9,-99,-99,5,3,4,2,-99,1,3,5,3,5,1,4,-99,3,6,6,1,1,2,2,1,-99,1,-99,1,6,9,3,3,7,3
1/1/2020,10,-99,-99,4,2,3,3,-99,1,6,4,2,3,1,3,-99,4,3,4,1,1,1,2,1,-99,1,-99,1,4,6,2,1,11,2
1/1/2020,11,-99,-99,2,1,2,2,-99,2,6,3,1,2,1,1,-99,3,2,2,1,1,1,2,0,-99,1,-99,1,3,2,1,1,4,1
1/1/2020,12,-99,-99,1,0,1,1,-99,1,2,2,1,1,1,1,-99,2,1,1,1,1,1,2,0,-99,1,-99,1,3,1,1,1,3,1
1/1/2020,13,-99,-99,1,0,1,1,-99,1,2,2,0,1,1,1,-99,1,1,1,1,1,1,1,0,-99,0,-99,1,3,1,1,1,2,1
1/1/2020,14,-99,-99,1,0,1,1,-99,1,1,1,0,1,1,1,-99,1,1,1,2,0,1,1,0,-99,0,-99,1,3,1,1,1,2,1
1/1/2020,15,-99,-99,1,0,1,1,-99,1,1,1,0,1,1,1,-99,1,1,1,1,1,1,1,0,-99,0,-99,1,2,1,1,1,2,1
