Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,0.6304347826086955,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/2/2020,0.24285714285714285,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/3/2020,0.4916666666666668,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/4/2020,0.4541666666666666,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/5/2020,0.3916666666666666,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/6/2020,0.8708333333333332,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/7/2020,0.5750000000000001,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/8/2020,0.6142857142857143,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/9/2020,1.025,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/10/2020,0.8666666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/11/2020,0.8041666666666666,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/12/2020,0.5708333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/13/2020,0.725,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/14/2020,0.6761904761904763,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/15/2020,0.5041666666666665,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/16/2020,0.3708333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/17/2020,0.3833333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/18/2020,0.5124999999999998,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/19/2020,0.32083333333333336,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/20/2020,0.5210526315789474,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/21/2020,0.6714285714285715,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/22/2020,0.8583333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/23/2020,0.6833333333333336,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/24/2020,0.37083333333333335,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/25/2020,0.4166666666666665,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/26/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/27/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/28/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/29/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/30/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/31/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/1/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/2/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/3/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/4/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/5/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/6/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/7/2020,0.7999999999999998,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/8/2020,0.5291666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/9/2020,0.4458333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/10/2020,0.5916666666666666,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/11/2020,0.6541666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/12/2020,0.6100000000000001,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/13/2020,0.36666666666666653,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/14/2020,0.8208333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/15/2020,0.6166666666666668,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/16/2020,0.4208333333333332,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/17/2020,0.6041666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/18/2020,0.6666666666666666,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/19/2020,0.6380952380952382,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/20/2020,0.375,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/21/2020,0.2875,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/22/2020,0.3208333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/23/2020,0.475,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/24/2020,0.4708333333333332,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/25/2020,0.4380952380952381,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/26/2020,0.4125000000000001,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/27/2020,0.375,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/28/2020,0.491304347826087,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/29/2020,0.4208333333333334,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/1/2020,0.5291666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/2/2020,0.6476190476190476,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/3/2020,0.5708333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/4/2020,0.3789473684210526,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/5/2020,0.39166666666666666,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/6/2020,0.3625,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/7/2020,0.25416666666666665,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/8/2020,0.3190476190476189,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/9/2020,0.3583333333333332,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/10/2020,0.4249999999999999,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/11/2020,0.6041666666666666,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/12/2020,0.5958333333333334,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/13/2020,0.5458333333333335,1,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/14/2020,0.35238095238095235,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/15/2020,0.25833333333333325,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/16/2020,0.31666666666666665,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/17/2020,0.5833333333333334,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/18/2020,0.6625000000000001,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/19/2020,0.6333333333333334,3,0,3,4,9.361915260624017e-06,0.0,0.0,427263,12618.52
3/20/2020,0.5285714285714286,4,0,3,8,1.872383052124804e-05,0.0,0.0,427263,12618.52
3/21/2020,0.25833333333333336,3,0,3,11,2.574526696671605e-05,0.0,0.0,427263,12618.52
3/22/2020,0.275,2,0,2,13,3.042622459702806e-05,0.0,0.0,427263,12618.52
3/23/2020,0.4208333333333332,6,0,5,19,4.4469097487964096e-05,0.0,0.0,427263,12618.52
3/24/2020,0.4708333333333332,3,0,3,22,5.1490533933432105e-05,0.0,0.0,427263,12618.52
3/25/2020,0.39166666666666666,3,0,3,25,5.851197037890011e-05,0.0,0.0,427263,12618.52
3/26/2020,0.580952380952381,3,0,2,28,6.553340682436811e-05,0.0,0.0,427263,12618.52
3/27/2020,0.42916666666666653,3,0,3,30,7.021436445468014e-05,0.0,0.0,427263,12618.52
3/28/2020,0.325,2,0,1,32,7.489532208499215e-05,0.0,0.0,427263,12618.52
3/29/2020,0.23749999999999996,2,0,1,34,7.957627971530415e-05,0.0,0.0,427263,12618.52
3/30/2020,0.3708333333333333,6,1,2,39,9.127867379108418e-05,0.23404788151560046,256.4102564102564,427263,12618.52
3/31/2020,0.2874999999999999,2,1,0,40,9.361915260624018e-05,0.23404788151560046,250.0,427263,12618.52
4/1/2020,0.21428571428571427,4,0,1,44,0.00010298106786686421,0.0,0.0,427263,12618.52
4/2/2020,0.2,4,0,2,45,0.0001053215466820202,0.0,0.0,427263,12618.52
4/3/2020,0.32380952380952377,7,0,3,48,0.00011234298312748821,0.0,0.0,427263,12618.52
4/4/2020,0.3666666666666668,4,1,2,48,0.00011234298312748821,0.23404788151560046,208.33333333333331,427263,12618.52
4/5/2020,0.2874999999999999,5,0,1,51,0.00011936441957295624,0.0,0.0,427263,12618.52
4/6/2020,0.4208333333333334,18,1,11,64,0.0001497906441699843,0.23404788151560046,156.25,427263,12618.52
4/7/2020,0.20000000000000004,7,1,4,67,0.00015681208061545232,0.23404788151560046,149.2537313432836,427263,12618.52
4/8/2020,0.2958333333333332,5,2,2,67,0.00015681208061545232,0.46809576303120093,298.5074626865672,427263,12618.52
4/9/2020,0.25833333333333336,7,0,3,73,0.00017085495350638834,0.0,0.0,427263,12618.52
4/10/2020,0.3375000000000001,3,0,1,73,0.00017085495350638834,0.0,0.0,427263,12618.52
4/11/2020,0.2916666666666666,6,0,5,77,0.00018021686876701235,0.0,0.0,427263,12618.52
4/12/2020,0.2249999999999999,4,0,2,79,0.00018489782639732435,0.0,0.0,427263,12618.52
4/13/2020,0.3761904761904762,9,0,3,84,0.00019660022047310438,0.0,0.0,427263,12618.52
4/14/2020,0.3499999999999999,21,1,8,103,0.00024106931796106845,0.23404788151560046,97.08737864077669,427263,12618.52
4/15/2020,0.37083333333333335,12,4,7,108,0.0002527717120368485,0.9361915260624019,370.3703703703703,427263,12618.52
4/16/2020,0.4,8,3,4,109,0.0002551121908520045,0.7021436445468013,275.22935779816515,427263,12618.52
4/17/2020,0.4041666666666667,19,3,7,118,0.0002761765001884085,0.7021436445468013,254.23728813559325,427263,12618.52
