Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,8.217391304347826,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/2/2020,4.904761904761905,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/3/2020,15.875,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/4/2020,24.375,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/5/2020,26.54166666666667,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/6/2020,43.91666666666666,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/7/2020,25.130434782608692,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/8/2020,38.80952380952381,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/9/2020,30.25,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/10/2020,21.17391304347826,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/11/2020,23.25,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/12/2020,22.41666666666667,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/13/2020,30.73913043478261,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/14/2020,28.190476190476193,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/15/2020,21.625,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/16/2020,19.33333333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/17/2020,21.625,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/18/2020,22.79166666666667,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/19/2020,10.869565217391305,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/20/2020,20.0,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/21/2020,23.782608695652176,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/22/2020,21.52380952380953,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/23/2020,17.041666666666668,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/24/2020,19.70833333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/25/2020,19.347826086956523,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/26/2020,14.61904761904762,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/27/2020,17.65,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/28/2020,20.08333333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/29/2020,24.20833333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/30/2020,16.75,0,0,0,0,0.0,0.0,0.0,199224,2787.52
1/31/2020,14.173913043478262,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/1/2020,21.952380952380953,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/2/2020,21.375,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/3/2020,10.458333333333334,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/4/2020,10.625,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/5/2020,7.083333333333332,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/6/2020,12.043478260869565,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/7/2020,21.761904761904763,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/8/2020,20.58333333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/9/2020,15.083333333333336,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/10/2020,19.95833333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/11/2020,20.25,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/12/2020,12.565217391304348,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/13/2020,26.761904761904763,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/14/2020,25.79166666666667,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/15/2020,23.70833333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/16/2020,16.083333333333332,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/17/2020,20.291666666666668,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/18/2020,26.357142857142854,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/19/2020,35.23809523809524,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/20/2020,19.916666666666668,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/21/2020,13.5,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/22/2020,22.45833333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/23/2020,16.708333333333332,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/24/2020,19.217391304347824,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/25/2020,17.523809523809526,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/26/2020,24.54166666666667,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/27/2020,25.875,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/28/2020,26.588235294117645,0,0,0,0,0.0,0.0,0.0,199224,2787.52
2/29/2020,26.54166666666667,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/1/2020,14.565217391304348,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/2/2020,15.666666666666664,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/3/2020,14.583333333333336,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/4/2020,16.083333333333332,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/5/2020,27.54166666666667,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/6/2020,27.56521739130435,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/7/2020,26.105263157894736,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/8/2020,21.809523809523807,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/9/2020,19.70833333333333,0,0,0,0,0.0,0.0,0.0,199224,2787.52
3/10/2020,24.08695652173913,1,0,0,1,5.019475565192948e-06,0.0,0.0,199224,2787.52
3/11/2020,28.875,2,0,0,3,1.5058426695578846e-05,0.0,0.0,199224,2787.52
3/12/2020,22.29166666666667,5,0,1,8,4.0155804521543593e-05,0.0,0.0,199224,2787.52
3/13/2020,22.869565217391305,4,1,1,11,5.521423121712244e-05,0.5019475565192948,909.0909090909091,199224,2787.52
3/14/2020,18.142857142857142,7,0,0,18,9.035056017347308e-05,0.0,0.0,199224,2787.52
3/15/2020,15.5,2,0,0,20,0.00010038951130385896,0.0,0.0,199224,2787.52
3/16/2020,16.375,3,0,0,23,0.00011544793799943779,0.0,0.0,199224,2787.52
3/17/2020,21.83333333333333,11,0,1,34,0.00017066216921656022,0.0,0.0,199224,2787.52
3/18/2020,26.842105263157894,4,0,0,38,0.00019074007147733204,0.0,0.0,199224,2787.52
3/19/2020,18.391304347826086,6,0,1,44,0.0002208569248684897,0.0,0.0,199224,2787.52
3/20/2020,17.904761904761905,4,0,0,48,0.00024093482712926156,0.0,0.0,199224,2787.52
3/21/2020,12.5,0,0,0,48,0.00024093482712926156,0.0,0.0,199224,2787.52
3/22/2020,13.666666666666664,0,0,0,48,0.00024093482712926156,0.0,0.0,199224,2787.52
3/23/2020,18.33333333333333,0,0,0,48,0.00024093482712926156,0.0,0.0,199224,2787.52
3/24/2020,21.125,5,0,1,52,0.0002610127293900333,0.0,0.0,199224,2787.52
3/25/2020,19.347826086956523,2,0,0,52,0.0002610127293900333,0.0,0.0,199224,2787.52
3/26/2020,20.33333333333333,3,0,1,50,0.0002509737782596474,0.0,0.0,199224,2787.52
3/27/2020,19.25,7,0,3,54,0.00027105168052041917,0.0,0.0,199224,2787.52
3/28/2020,13.916666666666664,1,0,1,48,0.00024093482712926156,0.0,0.0,199224,2787.52
3/29/2020,9.5,1,0,0,47,0.00023591535156406855,0.0,0.0,199224,2787.52
3/30/2020,14.708333333333336,3,0,1,47,0.00023591535156406855,0.0,0.0,199224,2787.52
3/31/2020,14.521739130434785,1,0,0,37,0.00018572059591213908,0.0,0.0,199224,2787.52
4/1/2020,16.428571428571427,1,1,0,33,0.0001656426936513673,0.5019475565192948,303.03030303030306,199224,2787.52
4/2/2020,14.181818181818182,1,0,0,29,0.00014556479139059552,0.0,0.0,199224,2787.52
4/3/2020,16.08695652173913,2,1,1,26,0.00013050636469501666,0.5019475565192948,384.61538461538464,199224,2787.52
4/4/2020,13.75,0,0,0,26,0.00013050636469501666,0.0,0.0,199224,2787.52
4/5/2020,12.458333333333336,0,0,0,26,0.00013050636469501666,0.0,0.0,199224,2787.52
4/6/2020,20.88888888888889,3,1,0,28,0.00014054531582540256,0.5019475565192948,357.1428571428571,199224,2787.52
4/7/2020,16.952380952380953,3,0,2,26,0.00013050636469501666,0.0,0.0,199224,2787.52
4/8/2020,17.866666666666667,1,0,0,25,0.0001254868891298237,0.0,0.0,199224,2787.52
4/9/2020,15.0,3,0,1,25,0.0001254868891298237,0.0,0.0,199224,2787.52
4/10/2020,5.875,6,0,2,25,0.0001254868891298237,0.0,0.0,199224,2787.52
4/11/2020,6.291666666666668,3,0,0,28,0.00014054531582540256,0.0,0.0,199224,2787.52
4/12/2020,4.173913043478262,1,0,1,28,0.00014054531582540256,0.0,0.0,199224,2787.52
4/13/2020,13.38095238095238,6,0,1,32,0.00016062321808617437,0.0,0.0,199224,2787.52
4/14/2020,13.208333333333336,3,3,1,31,0.00015560374252098142,1.5058426695578846,967.741935483871,199224,2787.52
4/15/2020,13.708333333333336,6,1,3,35,0.0001756816447817532,0.5019475565192948,285.7142857142857,199224,2787.52
4/16/2020,13.875,4,0,1,38,0.00019074007147733204,0.0,0.0,199224,2787.52
4/17/2020,14.375,3,0,1,39,0.000195759547042525,0.0,0.0,199224,2787.52
4/18/2020,17.304347826086953,6,0,3,45,0.00022587640043368268,0.0,0.0,199224,2787.52
4/19/2020,11.190476190476188,3,1,2,47,0.00023591535156406855,0.5019475565192948,212.7659574468085,199224,2787.52
4/20/2020,13.541666666666664,6,1,2,49,0.0002459543026944545,0.5019475565192948,204.0816326530612,199224,2787.52
4/21/2020,13.875,2,0,2,49,0.0002459543026944545,0.0,0.0,199224,2787.52
4/22/2020,12.875,7,1,1,54,0.00027105168052041917,0.5019475565192948,185.18518518518516,199224,2787.52
4/23/2020,10.208333333333334,9,0,2,61,0.0003061880094767699,0.0,0.0,199224,2787.52
4/24/2020,14.956521739130435,11,0,1,67,0.00033630486286792755,0.0,0.0,199224,2787.52
4/25/2020,13.523809523809526,2,2,2,65,0.00032626591173754165,1.0038951130385896,307.69230769230774,199224,2787.52
4/26/2020,8.0,1,0,1,65,0.00032626591173754165,0.0,0.0,199224,2787.52
4/27/2020,10.916666666666664,6,0,2,65,0.00032626591173754165,0.0,0.0,199224,2787.52
4/28/2020,13.375,6,0,1,69,0.0003463438139983134,0.0,0.0,199224,2787.52
4/29/2020,12.541666666666664,12,1,2,74,0.00037144119182427817,0.5019475565192948,135.13513513513513,199224,2787.52
4/30/2020,12.85,7,0,2,78,0.00039151909408505,0.0,0.0,199224,2787.52
5/1/2020,12.333333333333336,9,0,3,84,0.0004216359474762077,0.0,0.0,199224,2787.52
5/2/2020,15.375,5,0,1,85,0.00042665542304140064,0.0,0.0,199224,2787.52
5/3/2020,9.5,3,1,1,85,0.00042665542304140064,0.5019475565192948,117.6470588235294,199224,2787.52
5/4/2020,11.916666666666664,6,1,2,84,0.0004216359474762077,0.5019475565192948,119.04761904761904,199224,2787.52
5/5/2020,11.958333333333336,13,1,2,95,0.00047685017869333006,0.5019475565192948,105.26315789473684,199224,2787.52
5/6/2020,10.08695652173913,11,0,1,99,0.0004969280809541018,0.0,0.0,199224,2787.52
5/7/2020,14.666666666666664,10,1,2,100,0.0005019475565192948,0.5019475565192948,100.0,199224,2787.52
5/8/2020,11.5,6,0,1,95,0.00047685017869333006,0.0,0.0,199224,2787.52
5/9/2020,13.291666666666664,9,1,3,102,0.0005119865076496806,0.5019475565192948,98.0392156862745,199224,2787.52
5/10/2020,8.666666666666666,6,0,5,108,0.0005421033610408383,0.0,0.0,199224,2787.52
5/11/2020,14.458333333333336,10,0,4,113,0.0005672007388668033,0.0,0.0,199224,2787.52
5/12/2020,11.869565217391305,9,1,1,115,0.0005772396899971892,0.5019475565192948,86.95652173913044,199224,2787.52
5/13/2020,12.61904761904762,13,2,3,115,0.0005772396899971892,1.0038951130385896,173.91304347826087,199224,2787.52
5/14/2020,9.666666666666666,11,1,2,119,0.0005973175922579609,0.5019475565192948,84.03361344537815,199224,2787.52
5/15/2020,14.083333333333336,11,3,4,121,0.0006073565433883468,1.5058426695578846,247.93388429752068,199224,2787.52
5/16/2020,5.916666666666668,6,4,4,118,0.000592298116692768,2.007790226077179,338.9830508474576,199224,2787.52
5/17/2020,8.291666666666666,2,3,1,114,0.0005722202144319963,1.5058426695578846,263.1578947368421,199224,2787.52
5/18/2020,12.347826086956523,23,1,2,131,0.0006575512990402763,0.5019475565192948,76.33587786259541,199224,2787.52
5/19/2020,13.238095238095234,15,1,3,133,0.0006675902501706622,0.5019475565192948,75.18796992481202,199224,2787.52
5/20/2020,13.916666666666664,17,0,5,140,0.0007027265791270128,0.0,0.0,199224,2787.52
5/21/2020,18.20833333333333,16,3,2,143,0.0007177850058225916,1.5058426695578846,209.7902097902098,199224,2787.52
5/22/2020,13.958333333333336,15,0,2,153,0.0007679797614745211,0.0,0.0,199224,2787.52
5/23/2020,12.416666666666664,5,1,1,150,0.0007529213347789422,0.5019475565192948,66.66666666666667,199224,2787.52
5/24/2020,7.695652173913044,5,4,3,146,0.0007328434325181705,2.007790226077179,273.972602739726,199224,2787.52
5/25/2020,10.380952380952381,23,1,0,161,0.0008081355659960648,0.5019475565192948,62.11180124223602,199224,2787.52
5/26/2020,12.625,26,1,5,177,0.0008884471750391519,0.5019475565192948,56.497175141242934,199224,2787.52
5/27/2020,19.541666666666668,31,0,4,196,0.0009838172107778178,0.0,0.0,199224,2787.52
5/28/2020,13.708333333333336,28,2,3,213,0.001069148295386098,1.0038951130385896,93.89671361502347,199224,2787.52
5/29/2020,14.791666666666664,27,2,4,230,0.001154479379994378,1.0038951130385896,86.95652173913044,199224,2787.52
5/30/2020,11.26086956521739,20,1,6,246,0.0012347909890374654,0.5019475565192948,40.650406504065046,199224,2787.52
5/31/2020,9.380952380952381,6,1,3,249,0.0012498494157330445,0.5019475565192948,40.16064257028112,199224,2787.52
6/1/2020,9.458333333333334,37,1,4,264,0.0013251415492109384,0.5019475565192948,37.87878787878788,199224,2787.52
6/2/2020,10.958333333333336,28,3,8,275,0.001380355780428061,1.5058426695578846,109.0909090909091,199224,2787.52
6/3/2020,7.7391304347826075,17,4,8,276,0.0013853752559932536,2.007790226077179,144.92753623188406,199224,2787.52
6/4/2020,9.0,23,1,6,283,0.0014205115849496045,0.5019475565192948,35.3356890459364,199224,2787.52
6/5/2020,9.521739130434783,30,1,5,299,0.0015008231939926914,0.5019475565192948,33.44481605351171,199224,2787.52
6/6/2020,11.428571428571427,5,2,4,298,0.0014958037184274989,1.0038951130385896,67.11409395973155,199224,2787.52
6/7/2020,8.166666666666666,14,2,2,305,0.0015309400473838494,1.0038951130385896,65.57377049180327,199224,2787.52
6/8/2020,11.208333333333336,26,4,4,304,0.0015259205718186565,2.007790226077179,131.57894736842104,199224,2787.52
6/9/2020,15.375,31,2,1,309,0.0015510179496446212,1.0038951130385896,64.72491909385114,199224,2787.52
6/10/2020,12.75,22,4,4,300,0.0015058426695578847,2.007790226077179,133.33333333333334,199224,2787.52
6/11/2020,8.478260869565217,18,4,4,288,0.0014456089627755693,2.007790226077179,138.88888888888889,199224,2787.52
6/12/2020,6.7142857142857135,16,4,3,276,0.0013853752559932536,2.007790226077179,144.92753623188406,199224,2787.52
6/13/2020,7.5,13,1,1,270,0.0013552584026020962,0.5019475565192948,37.03703703703704,199224,2787.52
6/14/2020,8.583333333333334,4,2,3,266,0.0013351805003413244,1.0038951130385896,75.18796992481202,199224,2787.52
6/15/2020,11.125,16,1,4,246,0.0012347909890374654,0.5019475565192948,40.650406504065046,199224,2787.52
6/16/2020,13.5,14,0,2,235,0.0011795767578203428,0.0,0.0,199224,2787.52
6/17/2020,13.26086956521739,43,1,6,264,0.0013251415492109384,0.5019475565192948,37.87878787878788,199224,2787.52
6/18/2020,12.809523809523812,16,2,3,258,0.0012950246958197806,1.0038951130385896,77.51937984496124,199224,2787.52
6/19/2020,10.958333333333336,23,1,2,251,0.00125988836686343,0.5019475565192948,39.8406374501992,199224,2787.52
6/20/2020,9.375,24,0,2,271,0.0013602778781672893,0.0,0.0,199224,2787.52
6/21/2020,12.666666666666664,4,0,0,263,0.0013201220736457455,0.0,0.0,199224,2787.52
6/22/2020,15.0,35,2,2,272,0.001365297353732482,1.0038951130385896,73.52941176470588,199224,2787.52
6/23/2020,14.173913043478262,30,0,4,272,0.001365297353732482,0.0,0.0,199224,2787.52
6/24/2020,14.428571428571427,20,0,1,272,0.001365297353732482,0.0,0.0,199224,2787.52
6/25/2020,10.625,12,2,2,264,0.0013251415492109384,1.0038951130385896,75.75757575757576,199224,2787.52
6/26/2020,10.958333333333336,21,3,2,268,0.0013452194514717102,1.5058426695578846,111.94029850746269,199224,2787.52
6/27/2020,11.125,7,0,3,263,0.0013201220736457455,0.0,0.0,199224,2787.52
6/28/2020,10.458333333333334,12,0,2,273,0.001370316829297675,0.0,0.0,199224,2787.52
6/29/2020,14.173913043478262,31,1,6,289,0.0014506284383407624,0.5019475565192948,34.602076124567475,199224,2787.52
6/30/2020,14.952380952380953,44,1,5,319,0.0016012127052965506,0.5019475565192948,31.34796238244514,199224,2787.52
7/1/2020,13.416666666666664,31,3,3,305,0.0015309400473838494,1.5058426695578846,98.36065573770493,199224,2787.52
7/2/2020,10.583333333333334,26,1,3,315,0.0015811348030357788,0.5019475565192948,31.746031746031747,199224,2787.52
7/3/2020,9.958333333333334,29,0,4,322,0.0016162711319921295,0.0,0.0,199224,2787.52
7/4/2020,10.166666666666666,10,0,1,309,0.0015510179496446212,0.0,0.0,199224,2787.52
7/5/2020,10.565217391304348,4,2,3,307,0.0015409789985142352,1.0038951130385896,65.14657980456026,199224,2787.52
7/6/2020,15.047619047619047,40,3,5,309,0.0015510179496446212,1.5058426695578846,97.08737864077669,199224,2787.52
7/7/2020,12.333333333333336,20,4,2,297,0.0014907842428623056,2.007790226077179,134.68013468013467,199224,2787.52
7/8/2020,8.85,24,0,7,301,0.0015108621451230776,0.0,0.0,199224,2787.52
7/9/2020,16.434782608695652,37,0,1,327,0.0016413685098180942,0.0,0.0,199224,2787.52
7/10/2020,14.217391304347824,32,1,3,338,0.0016965827410352163,0.5019475565192948,29.585798816568047,199224,2787.52
7/11/2020,7.913043478260869,10,0,3,342,0.0017166606432959884,0.0,0.0,199224,2787.52
7/12/2020,8.142857142857142,5,2,2,334,0.0016765048387744448,1.0038951130385896,59.880239520958085,199224,2787.52
7/13/2020,12.181818181818182,52,0,3,357,0.0017919527767738827,0.0,0.0,199224,2787.52
7/14/2020,14.291666666666664,30,3,2,343,0.0017216801188611815,1.5058426695578846,87.46355685131195,199224,2787.52
7/15/2020,14.416666666666664,30,2,4,340,0.0017066216921656026,1.0038951130385896,58.8235294117647,199224,2787.52
7/16/2020,12.666666666666664,30,4,3,342,0.0017166606432959884,2.007790226077179,116.95906432748538,199224,2787.52
7/17/2020,12.434782608695652,22,1,1,335,0.001681524314339638,0.5019475565192948,29.850746268656717,199224,2787.52
7/18/2020,11.0,12,0,3,337,0.0016915632654700234,0.0,0.0,199224,2787.52
7/19/2020,10.458333333333334,5,2,3,338,0.0016965827410352163,1.0038951130385896,59.171597633136095,199224,2787.52
7/20/2020,15.708333333333336,31,3,2,327,0.0016413685098180942,1.5058426695578846,91.74311926605505,199224,2787.52
7/21/2020,13.708333333333336,72,1,4,378,0.0018973617636429347,0.5019475565192948,26.455026455026452,199224,2787.52
7/22/2020,14.208333333333336,27,0,2,384,0.0019274786170340925,0.0,0.0,199224,2787.52
7/23/2020,13.304347826086955,53,2,1,399,0.0020027707505119864,1.0038951130385896,50.125313283208015,199224,2787.52
7/24/2020,13.285714285714285,28,1,5,395,0.001982692848251215,0.5019475565192948,25.31645569620253,199224,2787.52
7/25/2020,12.958333333333336,18,1,0,406,0.002037907079468337,0.5019475565192948,24.63054187192118,199224,2787.52
7/26/2020,12.208333333333336,8,1,3,409,0.002052965506163916,0.5019475565192948,24.449877750611247,199224,2787.52
7/27/2020,13.391304347826088,36,2,4,393,0.001972653897120829,1.0038951130385896,50.890585241730285,199224,2787.52
7/28/2020,13.875,23,2,1,385,0.0019324980925992847,1.0038951130385896,51.94805194805195,199224,2787.52
7/29/2020,19.0,25,1,1,381,0.0019124201903385134,0.5019475565192948,26.246719160104988,199224,2787.52
7/30/2020,16.473684210526315,37,3,4,387,0.0019425370437296712,1.5058426695578846,77.51937984496124,199224,2787.52
7/31/2020,14.916666666666664,39,1,0,404,0.0020278681283379518,0.5019475565192948,24.752475247524753,199224,2787.52
8/1/2020,13.782608695652176,25,0,3,419,0.0021031602618158452,0.0,0.0,199224,2787.52
8/2/2020,9.26086956521739,2,0,1,418,0.0020981407862506523,0.0,0.0,199224,2787.52
8/3/2020,18.83333333333333,34,0,6,424,0.00212825763964181,0.0,0.0,199224,2787.52
8/4/2020,15.695652173913045,42,2,4,394,0.001977673372686022,1.0038951130385896,50.76142131979695,199224,2787.52
8/5/2020,10.523809523809524,52,0,1,420,0.0021081797373810386,0.0,0.0,199224,2787.52
8/6/2020,13.333333333333336,42,2,3,407,0.00204292655503353,1.0038951130385896,49.140049140049136,199224,2787.52
8/7/2020,8.208333333333334,55,1,6,435,0.0021834718708589325,0.5019475565192948,22.988505747126435,199224,2787.52
8/8/2020,8.875,34,0,6,451,0.0022637834799020197,0.0,0.0,199224,2787.52
8/9/2020,12.041666666666664,4,1,2,447,0.002243705577641248,0.5019475565192948,22.371364653243848,199224,2787.52
8/10/2020,14.565217391304348,15,1,2,427,0.002143316066337389,0.5019475565192948,23.4192037470726,199224,2787.52
8/11/2020,11.523809523809526,37,1,5,441,0.0022135887242500907,0.5019475565192948,22.675736961451246,199224,2787.52
8/12/2020,10.375,43,0,3,459,0.0023039392844235638,0.0,0.0,199224,2787.52
8/13/2020,13.25,25,1,1,448,0.002248725053206441,0.5019475565192948,22.32142857142857,199224,2787.52
