Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,10.891304347826088,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/2/2020,6.595238095238095,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/3/2020,17.375,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/4/2020,30.6875,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/5/2020,38.14583333333333,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/6/2020,46.75,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/7/2020,39.23913043478261,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/8/2020,32.90873015873016,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/9/2020,22.16666666666667,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/10/2020,12.375,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/11/2020,17.956521739130434,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/12/2020,30.354166666666664,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/13/2020,32.369565217391305,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/14/2020,25.42857142857143,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/15/2020,28.941287878787882,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/16/2020,22.92559523809524,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/17/2020,24.583333333333336,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/18/2020,29.8125,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/19/2020,20.73913043478261,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/20/2020,13.595238095238097,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/21/2020,20.20833333333333,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/22/2020,17.479166666666668,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/23/2020,15.479166666666664,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/24/2020,12.479166666666664,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/25/2020,11.76086956521739,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/26/2020,11.575,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/27/2020,11.708333333333336,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/28/2020,12.583333333333336,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/29/2020,11.958333333333336,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/30/2020,8.729166666666666,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
1/31/2020,9.954545454545455,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/1/2020,12.285714285714285,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/2/2020,12.791666666666664,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/3/2020,7.020833333333332,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/4/2020,4.791666666666667,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/5/2020,7.208333333333334,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/6/2020,12.782608695652174,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/7/2020,26.0,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/8/2020,23.291666666666664,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/9/2020,21.47916666666667,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/10/2020,27.083333333333336,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/11/2020,30.208333333333332,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/12/2020,15.826086956521738,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/13/2020,25.352941176470587,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/14/2020,26.84963768115942,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/15/2020,29.1875,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/16/2020,24.8125,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/17/2020,31.625,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/18/2020,39.23913043478261,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/19/2020,33.73809523809524,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/20/2020,23.116071428571427,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
2/21/2020,22.75,0,0,0,0,0.0,0.0,0.0,1827868,16152.95
