Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,13.76086956521739,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/2/2020,4.880952380952381,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/3/2020,21.766666666666666,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/4/2020,21.0625,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/5/2020,18.125,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/6/2020,34.708333333333336,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/7/2020,18.30434782608696,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/8/2020,24.57142857142857,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/9/2020,25.41666666666667,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/10/2020,23.1875,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/11/2020,19.375,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/12/2020,16.25,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/13/2020,22.58695652173913,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/14/2020,21.142857142857142,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/15/2020,17.25,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/16/2020,10.214285714285714,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/17/2020,14.9375,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/18/2020,34.875,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/19/2020,20.06521739130435,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/20/2020,34.595238095238095,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/21/2020,47.04166666666667,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/22/2020,36.91666666666667,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/23/2020,35.5625,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/24/2020,27.25,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/25/2020,32.391304347826086,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/26/2020,21.476190476190474,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/27/2020,34.57575757575758,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/28/2020,31.583333333333332,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/29/2020,33.9375,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/30/2020,24.276785714285715,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/31/2020,23.26086956521739,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/1/2020,35.07142857142858,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/2/2020,33.58333333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/3/2020,13.208333333333332,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/4/2020,15.5,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/5/2020,10.520833333333332,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/6/2020,17.34782608695652,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/7/2020,48.78571428571429,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/8/2020,26.1875,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/9/2020,21.791666666666664,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/10/2020,32.58333333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/11/2020,35.479166666666664,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/12/2020,26.869565217391305,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/13/2020,16.833333333333332,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/14/2020,22.77083333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/15/2020,16.916666666666668,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/16/2020,15.3125,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/17/2020,18.02083333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/18/2020,20.782608695652176,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/19/2020,23.809523809523807,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/20/2020,16.708333333333332,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/21/2020,11.145833333333336,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/22/2020,13.895833333333336,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/23/2020,11.0,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/24/2020,11.282608695652176,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/25/2020,10.19047619047619,0,0,0,0,0.0,0.0,0.0,608479,11284.85
