Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,14.347826086956523,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/2/2020,5.095238095238095,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/3/2020,17.583333333333332,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/4/2020,32.875,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/5/2020,34.75,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/6/2020,36.833333333333336,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/7/2020,47.52173913043478,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/8/2020,29.142857142857146,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/9/2020,32.95238095238095,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/10/2020,24.782608695652176,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/11/2020,27.54166666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/12/2020,27.70833333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/13/2020,24.91304347826087,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/14/2020,36.80952380952381,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/15/2020,28.347826086956523,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/16/2020,19.782608695652176,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/17/2020,22.29166666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/18/2020,25.375,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/19/2020,22.391304347826086,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/20/2020,32.1904761904762,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/21/2020,45.20833333333334,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/22/2020,26.16666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/23/2020,22.66666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/24/2020,24.66666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/25/2020,18.17391304347826,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/26/2020,13.190476190476188,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/27/2020,20.125,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/28/2020,20.541666666666668,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/29/2020,23.33333333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/30/2020,10.2,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/31/2020,16.130434782608695,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/1/2020,25.66666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/2/2020,27.20833333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/3/2020,8.956521739130435,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/4/2020,7.125,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/5/2020,3.583333333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/6/2020,12.869565217391305,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/7/2020,25.66666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/8/2020,18.625,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/9/2020,17.333333333333332,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/10/2020,27.43478260869565,0,0,0,0,0.0,0.0,0.0,361593,4211.92
