Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,21.73913043478261,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/2/2020,23.33333333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/3/2020,28.95833333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/4/2020,32.25,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/5/2020,38.833333333333336,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/6/2020,42.333333333333336,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/7/2020,26.782608695652176,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/8/2020,35.38095238095238,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/9/2020,28.761904761904763,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/10/2020,25.33333333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/11/2020,35.208333333333336,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/12/2020,31.0,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/13/2020,24.73913043478261,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/14/2020,25.42857142857143,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/15/2020,21.608695652173914,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/16/2020,27.04347826086957,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/17/2020,27.45833333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/18/2020,30.625,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/19/2020,11.173913043478262,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/20/2020,9.285714285714286,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/21/2020,21.79166666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/22/2020,33.583333333333336,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/23/2020,27.5,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/24/2020,26.625,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/25/2020,25.695652173913047,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/26/2020,29.523809523809533,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/27/2020,26.375,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/28/2020,31.70833333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/29/2020,28.142857142857146,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/30/2020,29.9,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/31/2020,28.39130434782609,0,0,0,0,0.0,0.0,0.0,361593,4211.92
