Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,18.08695652173913,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/2/2020,15.285714285714285,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/3/2020,19.25,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/4/2020,21.66666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/5/2020,24.91666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/6/2020,25.66666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/7/2020,19.43478260869565,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/8/2020,26.57142857142857,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/9/2020,25.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/10/2020,20.33333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/11/2020,25.125,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/12/2020,25.45833333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/13/2020,25.43478260869565,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/14/2020,24.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/15/2020,22.58333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/16/2020,22.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/17/2020,20.916666666666668,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/18/2020,20.666666666666668,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/19/2020,8.391304347826088,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/20/2020,7.857142857142858,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/21/2020,16.545454545454547,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/22/2020,23.70833333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/23/2020,13.166666666666664,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/24/2020,16.166666666666668,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/25/2020,19.043478260869566,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/26/2020,19.33333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/27/2020,13.05,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/28/2020,21.125,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/29/2020,24.08333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/30/2020,15.583333333333336,0,0,0,0,0.0,0.0,0.0,427263,12618.52
1/31/2020,19.347826086956523,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/1/2020,18.857142857142858,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/2/2020,16.208333333333332,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/3/2020,19.541666666666668,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/4/2020,9.363636363636363,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/5/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/6/2020,0.0,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/7/2020,21.428571428571427,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/8/2020,25.08333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/9/2020,27.375,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/10/2020,25.41666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/11/2020,32.541666666666664,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/12/2020,12.2,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/13/2020,28.66666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/14/2020,23.83333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/15/2020,31.58333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/16/2020,19.33333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/17/2020,25.875,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/18/2020,27.347826086956523,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/19/2020,28.095238095238088,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/20/2020,21.91666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/21/2020,28.875,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/22/2020,37.583333333333336,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/23/2020,41.25,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/24/2020,32.69565217391305,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/25/2020,23.952380952380953,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/26/2020,24.5,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/27/2020,25.29166666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/28/2020,29.47826086956522,0,0,0,0,0.0,0.0,0.0,427263,12618.52
2/29/2020,29.66666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/1/2020,42.04347826086956,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/2/2020,30.285714285714285,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/3/2020,22.08333333333333,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/4/2020,21.05263157894737,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/5/2020,30.16666666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/6/2020,18.5,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/7/2020,29.73913043478261,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/8/2020,38.142857142857146,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/9/2020,31.04166666666667,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/10/2020,35.666666666666664,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/11/2020,21.625,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/12/2020,32.333333333333336,0,0,0,0,0.0,0.0,0.0,427263,12618.52
3/13/2020,26.82608695652174,1,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/14/2020,37.857142857142854,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/15/2020,27.70833333333333,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/16/2020,21.95833333333333,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/17/2020,26.83333333333333,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/18/2020,27.0,0,0,0,1,2.3404788151560046e-06,0.0,0.0,427263,12618.52
3/19/2020,31.26086956521739,3,0,3,4,9.361915260624017e-06,0.0,0.0,427263,12618.52
3/20/2020,30.57142857142857,4,0,3,8,1.872383052124804e-05,0.0,0.0,427263,12618.52
3/21/2020,32.625,3,0,3,11,2.574526696671605e-05,0.0,0.0,427263,12618.52
3/22/2020,30.20833333333333,2,0,2,13,3.042622459702806e-05,0.0,0.0,427263,12618.52
3/23/2020,32.833333333333336,6,0,5,19,4.4469097487964096e-05,0.0,0.0,427263,12618.52
3/24/2020,31.25,3,0,3,22,5.1490533933432105e-05,0.0,0.0,427263,12618.52
3/25/2020,42.95652173913044,3,0,3,25,5.851197037890011e-05,0.0,0.0,427263,12618.52
3/26/2020,34.95238095238095,3,0,2,28,6.553340682436811e-05,0.0,0.0,427263,12618.52
3/27/2020,23.79166666666667,3,0,3,30,7.021436445468014e-05,0.0,0.0,427263,12618.52
3/28/2020,41.833333333333336,2,0,1,32,7.489532208499215e-05,0.0,0.0,427263,12618.52
3/29/2020,48.95833333333334,2,0,1,34,7.957627971530415e-05,0.0,0.0,427263,12618.52
3/30/2020,42.333333333333336,6,1,2,39,9.127867379108418e-05,0.23404788151560046,256.4102564102564,427263,12618.52
3/31/2020,31.347826086956523,2,1,0,40,9.361915260624018e-05,0.23404788151560046,250.0,427263,12618.52
4/1/2020,45.047619047619044,4,0,1,44,0.00010298106786686421,0.0,0.0,427263,12618.52
4/2/2020,42.16666666666666,4,0,2,45,0.0001053215466820202,0.0,0.0,427263,12618.52
4/3/2020,27.761904761904763,7,0,3,48,0.00011234298312748821,0.0,0.0,427263,12618.52
4/4/2020,42.083333333333336,4,1,2,48,0.00011234298312748821,0.23404788151560046,208.33333333333331,427263,12618.52
4/5/2020,41.833333333333336,5,0,1,51,0.00011936441957295624,0.0,0.0,427263,12618.52
4/6/2020,40.130434782608695,18,1,11,64,0.0001497906441699843,0.23404788151560046,156.25,427263,12618.52
4/7/2020,42.095238095238095,7,1,4,67,0.00015681208061545232,0.23404788151560046,149.2537313432836,427263,12618.52
4/8/2020,45.54166666666666,5,2,2,67,0.00015681208061545232,0.46809576303120093,298.5074626865672,427263,12618.52
4/9/2020,52.33333333333334,7,0,3,73,0.00017085495350638834,0.0,0.0,427263,12618.52
4/10/2020,46.54166666666666,3,0,1,73,0.00017085495350638834,0.0,0.0,427263,12618.52
4/11/2020,40.04166666666666,6,0,5,77,0.00018021686876701235,0.0,0.0,427263,12618.52
4/12/2020,37.52173913043478,4,0,2,79,0.00018489782639732435,0.0,0.0,427263,12618.52
4/13/2020,48.85714285714285,9,0,3,84,0.00019660022047310438,0.0,0.0,427263,12618.52
4/14/2020,38.41666666666666,21,1,8,103,0.00024106931796106845,0.23404788151560046,97.08737864077669,427263,12618.52
4/15/2020,46.16666666666666,12,4,7,108,0.0002527717120368485,0.9361915260624019,370.3703703703703,427263,12618.52
4/16/2020,48.45833333333334,8,3,4,109,0.0002551121908520045,0.7021436445468013,275.22935779816515,427263,12618.52
4/17/2020,53.70833333333334,19,3,7,118,0.0002761765001884085,0.7021436445468013,254.23728813559325,427263,12618.52
4/18/2020,53.65217391304348,11,3,5,124,0.00029021937307934463,0.7021436445468013,241.93548387096774,427263,12618.52
4/19/2020,58.28571428571429,9,2,7,127,0.00029724080952481263,0.46809576303120093,157.48031496062993,427263,12618.52
4/20/2020,47.20833333333334,21,2,10,130,0.0003042622459702806,0.46809576303120093,153.84615384615387,427263,12618.52
4/21/2020,44.33333333333334,25,1,5,150,0.0003510718222734007,0.23404788151560046,66.66666666666667,427263,12618.52
4/22/2020,46.625,35,3,14,177,0.0004142647502826128,0.7021436445468013,169.4915254237288,427263,12618.52
4/23/2020,36.958333333333336,22,2,8,190,0.0004446909748796409,0.46809576303120093,105.26315789473684,427263,12618.52
4/24/2020,45.30434782608695,31,3,13,216,0.000505543424073697,0.7021436445468013,138.88888888888889,427263,12618.52
4/25/2020,43.047619047619044,17,5,14,223,0.0005219267757797892,1.1702394075780023,224.2152466367713,427263,12618.52
4/26/2020,45.33333333333334,14,6,8,229,0.0005359696486707251,1.4042872890936027,262.0087336244541,427263,12618.52
4/27/2020,47.66666666666666,29,4,11,248,0.0005804387461586893,0.9361915260624019,161.29032258064515,427263,12618.52
4/28/2020,36.875,28,2,11,257,0.0006015030554950933,0.46809576303120093,77.82101167315176,427263,12618.52
4/29/2020,39.333333333333336,32,5,10,276,0.0006459721529830572,1.1702394075780023,181.1594202898551,427263,12618.52
4/30/2020,51.26086956521739,34,7,11,296,0.0006927817292861773,1.638335170609203,236.4864864864865,427263,12618.52
5/1/2020,43.28571428571429,16,8,10,290,0.0006787388563952412,1.8723830521248037,275.8620689655172,427263,12618.52
5/2/2020,41.75,6,4,3,283,0.0006623555046891492,0.9361915260624019,141.3427561837456,427263,12618.52
5/3/2020,45.66666666666666,17,4,10,290,0.0006787388563952412,0.9361915260624019,137.9310344827586,427263,12618.52
5/4/2020,39.875,53,3,15,322,0.0007536341784802335,0.7021436445468013,93.16770186335404,427263,12618.52
5/5/2020,41.875,24,4,12,321,0.0007512936996650775,0.9361915260624019,124.61059190031152,427263,12618.52
5/6/2020,43.21739130434783,48,4,11,340,0.0007957627971530416,0.9361915260624019,117.6470588235294,427263,12618.52
5/7/2020,35.857142857142854,59,3,15,378,0.0008847009921289697,0.7021436445468013,79.36507936507937,427263,12618.52
5/8/2020,44.625,51,8,14,396,0.000926829610801778,1.8723830521248037,202.02020202020205,427263,12618.52
5/9/2020,46.91666666666666,22,6,16,406,0.0009502343989533381,1.4042872890936027,147.7832512315271,427263,12618.52
5/10/2020,46.33333333333334,17,6,11,407,0.0009525748777684937,1.4042872890936027,147.42014742014743,427263,12618.52
5/11/2020,47.16666666666666,53,8,21,433,0.00101342732696255,1.8723830521248037,184.75750577367205,427263,12618.52
5/12/2020,42.65217391304348,58,4,14,465,0.001088322649047542,0.9361915260624019,86.02150537634408,427263,12618.52
5/13/2020,48.23809523809525,56,11,17,481,0.0011257703100900382,2.574526696671605,228.6902286902287,427263,12618.52
5/14/2020,47.375,45,12,15,486,0.0011374727041658182,2.8085745781872054,246.91358024691357,427263,12618.52
5/15/2020,44.375,75,6,23,547,0.0012802419118903346,1.4042872890936027,109.68921389396709,427263,12618.52
5/16/2020,37.208333333333336,38,9,15,572,0.0013387538822692347,2.106430933640404,157.34265734265736,427263,12618.52
5/17/2020,52.41666666666666,26,5,10,582,0.0013621586704207944,1.1702394075780023,85.9106529209622,427263,12618.52
5/18/2020,55.43478260869565,58,10,20,585,0.0013691801068662626,2.3404788151560045,170.94017094017096,427263,12618.52
5/19/2020,55.523809523809526,71,12,12,625,0.0014627992594725028,2.8085745781872054,191.99999999999997,427263,12618.52
5/20/2020,55.125,63,4,16,640,0.001497906441699843,0.9361915260624019,62.5,427263,12618.52
5/21/2020,57.70833333333334,53,9,11,635,0.001486204047624063,2.106430933640404,141.73228346456693,427263,12618.52
5/22/2020,47.41666666666666,53,8,10,639,0.0014955659628846868,1.8723830521248037,125.19561815336463,427263,12618.52
5/23/2020,45.83333333333334,16,9,5,636,0.0014885445264392187,2.106430933640404,141.50943396226415,427263,12618.52
5/24/2020,48.91304347826087,14,6,5,635,0.001486204047624063,1.4042872890936027,94.48818897637796,427263,12618.52
5/25/2020,54.0,67,6,20,654,0.001530673145112027,1.4042872890936027,91.74311926605505,427263,12618.52
5/26/2020,57.875,43,8,8,639,0.0014955659628846868,1.8723830521248037,125.19561815336463,427263,12618.52
5/27/2020,55.20833333333334,60,6,10,647,0.001514289793405935,1.4042872890936027,92.7357032457496,427263,12618.52
5/28/2020,48.45833333333334,36,8,17,639,0.0014955659628846868,1.8723830521248037,125.19561815336463,427263,12618.52
5/29/2020,38.66666666666666,55,9,15,622,0.0014557778230270347,2.106430933640404,144.69453376205786,427263,12618.52
5/30/2020,36.34782608695652,24,8,12,607,0.0014206706407996947,1.8723830521248037,131.79571663920922,427263,12618.52
5/31/2020,39.904761904761905,20,6,8,600,0.0014042872890936027,1.4042872890936027,100.0,427263,12618.52
6/1/2020,33.583333333333336,60,8,11,604,0.0014136492043542268,1.8723830521248037,132.4503311258278,427263,12618.52
6/2/2020,32.791666666666664,45,4,14,582,0.0013621586704207944,0.9361915260624019,68.72852233676976,427263,12618.52
6/3/2020,18.166666666666668,49,6,14,573,0.0013410943610843904,1.4042872890936027,104.71204188481676,427263,12618.52
6/4/2020,23.375,51,5,14,572,0.0013387538822692347,1.1702394075780023,87.41258741258741,427263,12618.52
6/5/2020,29.90909090909091,33,6,7,549,0.0012849228695206464,1.4042872890936027,109.2896174863388,427263,12618.52
6/6/2020,40.80952380952381,16,7,10,546,0.0012779014330751785,1.638335170609203,128.2051282051282,427263,12618.52
6/7/2020,45.625,14,4,11,546,0.0012779014330751785,0.9361915260624019,73.26007326007326,427263,12618.52
6/8/2020,40.2,55,5,16,541,0.0012661990389993985,1.1702394075780023,92.42144177449168,427263,12618.52
6/9/2020,40.0,56,9,12,550,0.0012872633483358026,2.106430933640404,163.63636363636365,427263,12618.52
6/10/2020,34.291666666666664,58,7,10,548,0.0012825823907054905,1.638335170609203,127.73722627737226,427263,12618.52
6/11/2020,31.217391304347824,65,6,9,578,0.0013527967551601706,1.4042872890936027,103.80622837370241,427263,12618.52
6/12/2020,26.857142857142854,43,7,12,570,0.0013340729246389227,1.638335170609203,122.80701754385964,427263,12618.52
6/13/2020,43.75,23,9,11,567,0.0013270514881934545,2.106430933640404,158.73015873015873,427263,12618.52
6/14/2020,43.83333333333334,10,6,4,557,0.0013036467000418946,1.4042872890936027,107.71992818671454,427263,12618.52
6/15/2020,44.75,52,9,19,546,0.0012779014330751785,2.106430933640404,164.83516483516485,427263,12618.52
6/16/2020,48.375,47,11,10,540,0.0012638585601842426,2.574526696671605,203.70370370370372,427263,12618.52
6/17/2020,41.78260869565217,46,9,7,532,0.0012451347296629945,2.106430933640404,169.17293233082705,427263,12618.52
6/18/2020,35.09523809523809,38,3,10,524,0.0012264108991417466,0.7021436445468013,57.25190839694657,427263,12618.52
6/19/2020,33.5,30,4,6,519,0.0012147085050659664,0.9361915260624019,77.07129094412332,427263,12618.52
6/20/2020,27.83333333333333,10,7,7,511,0.0011959846745447185,1.638335170609203,136.986301369863,427263,12618.52
6/21/2020,29.08333333333333,8,7,3,505,0.0011819418016537824,1.638335170609203,138.6138613861386,427263,12618.52
6/22/2020,24.70833333333333,44,3,12,496,0.0011608774923173785,0.7021436445468013,60.483870967741936,427263,12618.52
6/23/2020,6.0,36,4,7,481,0.0011257703100900382,0.9361915260624019,83.16008316008316,427263,12618.52
6/24/2020,23.619047619047624,30,3,7,455,0.0010649178608959822,0.7021436445468013,65.93406593406593,427263,12618.52
6/25/2020,12.375,53,2,10,444,0.0010391725939292661,0.46809576303120093,45.04504504504504,427263,12618.52
6/26/2020,25.83333333333333,51,4,5,453,0.0010602369032656704,0.9361915260624019,88.30022075055187,427263,12618.52
6/27/2020,39.833333333333336,17,7,9,444,0.0010391725939292661,1.638335170609203,157.65765765765764,427263,12618.52
6/28/2020,37.583333333333336,13,2,7,449,0.001050874988005046,0.46809576303120093,44.54342984409799,427263,12618.52
6/29/2020,32.04347826086956,60,5,15,459,0.001074279776156606,1.1702394075780023,108.93246187363835,427263,12618.52
6/30/2020,39.52380952380953,38,3,6,454,0.001062577382080826,0.7021436445468013,66.07929515418502,427263,12618.52
7/1/2020,33.25,61,4,2,466,0.0010906631278626985,0.9361915260624019,85.83690987124463,427263,12618.52
7/2/2020,34.083333333333336,40,1,5,472,0.001104706000753634,0.23404788151560046,21.1864406779661,427263,12618.52
7/3/2020,32.5,60,2,7,506,0.0011842822804689385,0.46809576303120093,39.52569169960474,427263,12618.52
