Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,1.5217391304347827,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/2/2020,0.9047619047619048,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/3/2020,0.8333333333333334,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/4/2020,5.041666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/5/2020,6.875,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/6/2020,4.125,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/7/2020,4.434782608695652,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/8/2020,3.761904761904762,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/9/2020,2.380952380952381,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/10/2020,0.9583333333333334,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/11/2020,1.9166666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/12/2020,4.75,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/13/2020,2.130434782608696,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/14/2020,1.9523809523809523,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/15/2020,1.826086956521739,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/16/2020,3.260869565217391,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/17/2020,3.0416666666666665,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/18/2020,3.5416666666666665,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/19/2020,1.0869565217391304,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/20/2020,0.8571428571428571,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/21/2020,0.9166666666666666,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/22/2020,3.0,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/23/2020,3.125,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/24/2020,3.0416666666666665,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/25/2020,0.8695652173913043,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/26/2020,1.0,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/27/2020,1.0833333333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/28/2020,1.0416666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/29/2020,1.5238095238095235,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/30/2020,0.85,0,0,0,0,0.0,0.0,0.0,361593,4211.92
1/31/2020,0.9130434782608696,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/1/2020,7.761904761904763,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/2/2020,2.375,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/3/2020,0.8695652173913043,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/4/2020,0.5416666666666666,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/5/2020,0.25,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/6/2020,0.7391304347826086,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/7/2020,1.0476190476190477,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/8/2020,0.9583333333333334,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/9/2020,0.9583333333333334,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/10/2020,1.7391304347826086,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/11/2020,2.25,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/12/2020,1.0434782608695652,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/13/2020,1.4761904761904765,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/14/2020,2.5,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/15/2020,1.125,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/16/2020,1.7916666666666667,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/17/2020,3.208333333333333,0,0,0,0,0.0,0.0,0.0,361593,4211.92
2/18/2020,2.4444444444444446,0,0,0,0,0.0,0.0,0.0,361593,4211.92
