FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2021,1,-99,-99,1,1,2,1,-99,-99,1,1,0,-99,1,-99,-99,2,3,3,1,1,2,1,2,2,3,-99,2,2,-99,1,2,15,-99
1/1/2021,2,-99,-99,2,1,2,1,-99,-99,1,2,0,-99,1,-99,-99,3,3,3,1,1,2,1,2,2,2,-99,2,3,-99,1,3,11,-99
1/1/2021,3,-99,-99,1,1,1,1,-99,-99,1,1,0,-99,0,-99,-99,1,3,2,1,1,1,0,1,1,1,-99,2,2,-99,0,1,7,-99
1/1/2021,4,-99,-99,1,1,1,1,-99,-99,1,1,0,-99,0,-99,-99,1,3,2,0,1,1,0,1,1,1,-99,2,2,-99,0,1,7,-99
1/1/2021,5,-99,-99,1,1,1,1,-99,-99,1,1,0,-99,1,-99,-99,1,3,2,0,1,0,0,1,1,1,-99,1,2,-99,0,1,6,-99
1/1/2021,6,-99,-99,1,1,1,1,-99,-99,2,1,0,-99,1,-99,-99,1,3,1,0,1,1,0,1,1,1,-99,1,2,-99,0,1,4,-99
1/1/2021,7,-99,-99,0,1,1,1,-99,-99,2,0,0,-99,1,-99,-99,1,3,1,0,1,1,0,1,2,1,-99,1,1,-99,0,1,3,-99
1/1/2021,8,-99,-99,0,1,1,1,-99,-99,1,1,0,-99,1,-99,-99,1,3,1,0,0,1,0,1,2,1,-99,1,1,-99,1,1,3,-99
1/1/2021,9,-99,-99,1,1,2,1,-99,-99,2,2,0,-99,1,-99,-99,1,3,1,0,1,2,0,2,3,1,-99,1,2,-99,1,2,3,-99
1/1/2021,10,-99,-99,2,1,2,1,-99,-99,4,1,0,-99,1,-99,-99,1,3,2,0,0,1,0,2,2,1,-99,1,2,-99,1,2,4,-99
