Estado,Fecha,Infectados,Curados,Defunciones,Acumulado,Poblacion,TIncidencia,promedioCO,promedioO3,promedioSO2,promedioCOEsc,promedioO3Esc,promedioSO2Esc
Ciudad de México,2020-01-01,0,0,0,0,8918653,0,0.268011815137954,1,0.860226521507986,268.011815137954,1000,860.226521507986
Ciudad de México,2020-01-02,0,0,0,0,8918653,0,0.164408135723925,1,0.816326530612245,164.408135723925,1000,816.326530612245
Ciudad de México,2020-01-03,0,0,0,0,8918653,0,0.242693796886343,1,0.854029424681599,242.693796886343,1000,854.029424681599
Ciudad de México,2020-01-04,0,0,0,0,8918653,0,0.323019323671497,0.833333333333333,0.898636363636364,323.019323671497,833.333333333333,898.636363636364
Ciudad de México,2020-01-05,0,0,0,0,8918653,0,0.31122907125081,0.966666666666667,0.4,311.22907125081,966.666666666667,400
Ciudad de México,2020-01-06,0,0,0,0,8918653,0,0.552396810369451,0.9125,1,552.396810369451,912.5,1000
Ciudad de México,2020-01-07,0,0,0,0,8918653,0,0.286568753609203,0.90625,0.983333333333333,286.568753609203,906.25,983.333333333333
Ciudad de México,2020-01-08,0,0,0,0,8918653,0,0.42970335561125,0.888888888888889,1,429.70335561125,888.888888888889,1000
Ciudad de México,2020-01-09,0,0,0,0,8918653,0,0.381719083410356,0.916666666666667,0.979166666666667,381.719083410356,916.666666666667,979.166666666667
Ciudad de México,2020-01-10,0,0,0,0,8918653,0,0.326215457474856,0.93,0.93506424308854,326.215457474856,930,935.06424308854
Ciudad de México,2020-01-11,0,0,0,0,8918653,0,0.360834480800156,0.871212121212121,0.96969696969697,360.834480800156,871.212121212121,969.69696969697
Ciudad de México,2020-01-12,0,0,0,0,8918653,0,0.374870600414079,0.907407407407407,1,374.870600414079,907.407407407407,1000
Ciudad de México,2020-01-13,0,0,0,0,8918653,0,0.354657477025898,0.850694444444444,1,354.657477025898,850.694444444444,1000
Ciudad de México,2020-01-14,0,0,0,0,8918653,0,0.354129794461644,0.896103896103896,1,354.129794461644,896.103896103896,1000
Ciudad de México,2020-01-15,0,0,0,0,8918653,0,0.367240487273024,0.797395833333333,1,367.240487273024,797.395833333333,1000
Ciudad de México,2020-01-16,0,0,0,0,8918653,0,0.310418137116507,0.783333333333333,1,310.418137116507,783.333333333333,1000
Ciudad de México,2020-01-17,0,0,0,0,8918653,0,0.297016369047619,0.833333333333333,0.968253968253968,297.016369047619,833.333333333333,968.253968253968
Ciudad de México,2020-01-18,0,0,0,0,8918653,0,0.359323328392622,0.836805555555555,1,359.323328392622,836.805555555555,1000
Ciudad de México,2020-01-19,0,0,0,0,8918653,0,0.199254261363636,1,0.893031910880881,199.254261363636,1000,893.031910880881
Ciudad de México,2020-01-20,0,0,0,0,8918653,0,0.353609587694727,0.742424242424242,0.932539682539683,353.609587694727,742.424242424242,932.539682539683
Ciudad de México,2020-01-21,0,0,0,0,8918653,0,0.427047562459327,0.798717948717949,0.903275227188271,427.047562459327,798.717948717949,903.275227188271
Ciudad de México,2020-01-22,0,0,0,0,8918653,0,0.366951892052848,0.954545454545455,0.957142857142857,366.951892052848,954.545454545455,957.142857142857
Ciudad de México,2020-01-23,0,0,0,0,8918653,0,0.293633958083615,0.857142857142857,0.907749113631466,293.633958083615,857.142857142857,907.749113631466
Ciudad de México,2020-01-24,0,0,0,0,8918653,0,0.321369707303211,0.883333333333333,0.967857142857143,321.369707303211,883.333333333333,967.857142857143
Ciudad de México,2020-01-25,0,0,0,0,8918653,0,0.323694958740725,0.910357142857143,0.952696959790781,323.694958740725,910.357142857143,952.696959790781
Ciudad de México,2020-01-26,0,0,0,0,8918653,0,0.278350340136054,0.866666666666667,0.996336996336996,278.350340136054,866.666666666667,996.336996336996
Ciudad de México,2020-01-27,0,0,0,0,8918653,0,0.269063079777365,0.920634920634921,0.955627705627706,269.063079777365,920.634920634921,955.627705627706
Ciudad de México,2020-01-28,0,0,0,0,8918653,0,0.285950114911785,0.979166666666667,0.925539781129843,285.950114911785,979.166666666667,925.539781129843
Ciudad de México,2020-01-29,0,0,0,0,8918653,0,0.277365073677185,0.890476190476191,0.946359464838567,277.365073677185,890.476190476191,946.359464838567
Ciudad de México,2020-01-30,0,0,0,0,8918653,0,0.200989006135704,0.875,0.91558676830416,200.989006135704,875,915.58676830416
Ciudad de México,2020-01-31,0,0,0,0,8918653,0,0.228135872926246,0.8,0.922588798365196,228.135872926246,800,922.588798365196
Ciudad de México,2020-02-01,0,0,0,0,8918653,0,0.390603431656063,0.767948717948718,1,390.603431656063,767.948717948718,1000
Ciudad de México,2020-02-02,0,0,0,0,8918653,0,0.514012684493234,0.915555555555556,1,514.012684493234,915.555555555556,1000
Ciudad de México,2020-02-03,0,0,0,0,8918653,0,0.223229125946517,0.814814814814815,0.9439348091522,223.229125946517,814.814814814815,943.9348091522
Ciudad de México,2020-02-04,0,0,0,0,8918653,0,0.213973164516643,0.857142857142857,0.873251748251748,213.973164516643,857.142857142857,873.251748251748
Ciudad de México,2020-02-05,0,0,0,0,8918653,0,0.176601731601732,1,0.807692307692308,176.601731601732,1000,807.692307692308
Ciudad de México,2020-02-06,0,0,0,0,8918653,0,0.245833333333333,0.9,0.850277868584505,245.833333333333,900,850.277868584505
Ciudad de México,2020-02-07,0,0,0,0,8918653,0,0.362729892541812,0.851851851851852,0.926844070961718,362.729892541812,851.851851851852,926.844070961718
Ciudad de México,2020-02-08,0,0,0,0,8918653,0,0.3099420917247,0.972222222222222,0.887175324675325,309.9420917247,972.222222222222,887.175324675325
Ciudad de México,2020-02-09,0,0,0,0,8918653,0,0.312329497987393,0.904761904761905,0.957298136645963,312.329497987393,904.761904761905,957.298136645963
Ciudad de México,2020-02-10,0,0,0,0,8918653,0,0.375323773448773,0.767032967032967,1,375.323773448773,767.032967032967,1000
Ciudad de México,2020-02-11,0,0,0,0,8918653,0,0.37643523664233,0.85952380952381,0.979591836734694,376.43523664233,859.52380952381,979.591836734694
Ciudad de México,2020-02-12,0,0,0,0,8918653,0,0.230103205972771,0.9375,0.959463877084014,230.103205972771,937.5,959.463877084014
Ciudad de México,2020-02-13,0,0,0,0,8918653,0,0.318243975952954,0.791666666666667,0.952380952380952,318.243975952954,791.666666666667,952.380952380952
Ciudad de México,2020-02-14,0,0,0,0,8918653,0,0.421903594949294,0.875943104514533,0.96,421.903594949294,875.943104514533,960
Ciudad de México,2020-02-15,0,0,0,0,8918653,0,0.418677032077653,0.783888888888889,0.981340579710145,418.677032077653,783.888888888889,981.340579710145
Ciudad de México,2020-02-16,0,0,0,0,8918653,0,0.307772444946358,0.886666666666667,0.967147435897436,307.772444946358,886.666666666667,967.147435897436
Ciudad de México,2020-02-17,0,0,0,0,8918653,0,0.312951131357473,0.818181818181818,1,312.951131357473,818.181818181818,1000
Ciudad de México,2020-02-18,0,0,0,0,8918653,0,0.362121252807343,0.833333333333333,1,362.121252807343,833.333333333333,1000
Ciudad de México,2020-02-19,0,0,0,0,8918653,0,0.383762215412481,0.86031746031746,0.984848484848485,383.762215412481,860.31746031746,984.848484848485
Ciudad de México,2020-02-20,0,0,0,0,8918653,0,0.248482350293976,0.8125,0.982142857142857,248.482350293976,812.5,982.142857142857
Ciudad de México,2020-02-21,0,0,0,0,8918653,0,0.233654970760234,0.881666666666666,0.954684302870946,233.654970760234,881.666666666666,954.684302870946
Ciudad de México,2020-02-22,0,0,0,0,8918653,0,0.37275707384403,0.805952380952381,1,372.75707384403,805.952380952381,1000
Ciudad de México,2020-02-23,0,0,0,0,8918653,0,0.348776415676873,1,0.989010989010989,348.776415676873,1000,989.010989010989
Ciudad de México,2020-02-24,2,0,0,2,8918653,2.24249110263624E-07,0.306848547587678,1,0.96037296037296,306.848547587678,1000,960.37296037296
Ciudad de México,2020-02-25,0,0,0,2,8918653,2.24249110263624E-07,0.218823795600111,0.875,0.806229860365199,218.823795600111,875,806.229860365199
Ciudad de México,2020-02-26,1,0,0,3,8918653,3.36373665395436E-07,0.29167435221783,0.876666666666667,0.818255274137627,291.67435221783,876.666666666667,818.255274137627
Ciudad de México,2020-02-27,4,0,0,7,8918653,7.84871885922684E-07,0.33111615996513,0.875,0.971590909090909,331.11615996513,875,971.590909090909
Ciudad de México,2020-02-28,1,0,0,8,8918653,8.96996441054496E-07,0.322684986511073,0.875,0.964285714285714,322.684986511073,875,964.285714285714
Ciudad de México,2020-02-29,0,0,0,8,8918653,8.96996441054496E-07,0.357266542980829,0.857142857142857,1,357.266542980829,857.142857142857,1000
Ciudad de México,2020-03-01,0,0,0,8,8918653,8.96996441054496E-07,0.364009012695987,1,1,364.009012695987,1000,1000
