Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP,Cluster
5/8/2020,16.833333333333336,198,20,57,1532,0.0008381349200270479,1.0941709138734308,130.54830287206266,1827868,16152.95,4
5/19/2020,17.833333333333336,212,25,57,1939,0.001060798701000291,1.3677136423417884,128.93243940175347,1827868,16152.95,4
5/20/2020,21.166666666666664,201,27,59,1976,0.0010810408629069496,1.4771307337291315,136.63967611336034,1827868,16152.95,4
5/26/2020,13.4375,160,20,45,1991,0.0010892471447610005,1.0941709138734308,100.4520341536916,1827868,16152.95,4
6/2/2020,12.583333333333332,163,21,38,1868,0.0010219556335577843,1.148879459567102,112.41970021413276,1827868,16152.95,4
6/9/2020,20.520833333333336,148,15,33,1745,0.0009546641223545679,0.820628185405073,85.95988538681948,1827868,16152.95,4
6/12/2020,9.333333333333332,156,18,29,1733,0.0009480990968713276,0.9847538224860876,103.866128101558,1827868,16152.95,4
6/15/2020,15.104166666666664,123,12,29,1626,0.0008895609529790992,0.6565025483240584,73.80073800738008,1827868,16152.95,4
6/22/2020,19.750000000000004,134,13,29,1497,0.0008189869290342629,0.7112110940177299,86.84034736138945,1827868,16152.95,4
6/23/2020,19.15711462450593,137,11,24,1490,0.0008151573308357059,0.6017940026303868,73.8255033557047,1827868,16152.95,4
6/24/2020,12.595238095238097,116,7,27,1476,0.0008074981344385918,0.3829598198557007,47.42547425474255,1827868,16152.95,4
6/26/2020,14.0,123,3,27,1433,0.0007839734597903131,0.1641256370810146,20.9351011863224,1827868,16152.95,4
6/29/2020,17.195652173913047,145,9,36,1444,0.000789991399816617,0.4923769112430438,62.32686980609419,1827868,16152.95,4
6/30/2020,18.19047619047619,137,11,21,1411,0.0007719375797377053,0.6017940026303868,77.95889440113396,1827868,16152.95,4
7/1/2020,8.1875,143,12,18,1420,0.0007768613488501357,0.6565025483240584,84.50704225352112,1827868,16152.95,4
7/2/2020,13.333333333333332,145,6,27,1434,0.0007845205452472497,0.3282512741620292,41.841004184100406,1827868,16152.95,4
7/3/2020,17.170833333333334,141,12,24,1465,0.000801480194412288,0.6565025483240584,81.91126279863481,1827868,16152.95,4
7/8/2020,12.208333333333336,115,9,13,1440,0.0007878030579888701,0.4923769112430438,62.5,1827868,16152.95,4
7/9/2020,19.571271929824558,118,7,17,1454,0.0007954622543859841,0.3829598198557007,48.14305364511692,1827868,16152.95,4
7/10/2020,21.416666666666664,137,12,24,1473,0.0008058568780677818,0.6565025483240584,81.4663951120163,1827868,16152.95,4
7/13/2020,18.0,155,11,22,1490,0.0008151573308357059,0.6017940026303868,73.8255033557047,1827868,16152.95,4
7/14/2020,22.0,159,9,23,1515,0.0008288344672591237,0.4923769112430438,59.40594059405941,1827868,16152.95,4
7/15/2020,16.795289855072465,160,16,25,1525,0.000834305321828491,0.8753367310987444,104.91803278688525,1827868,16152.95,4
7/16/2020,20.45833333333333,137,10,31,1514,0.000828287381802187,0.5470854569367154,66.05019815059445,1827868,16152.95,4
7/17/2020,14.804347826086955,126,12,19,1501,0.0008211752708620097,0.6565025483240584,79.94670219853431,1827868,16152.95,4
7/20/2020,23.45833333333333,145,12,23,1539,0.000841964518225605,0.6565025483240584,77.97270955165692,1827868,16152.95,4
7/21/2020,18.54981884057971,166,6,24,1590,0.0008698658765293772,0.3282512741620292,37.735849056603776,1827868,16152.95,4
7/22/2020,18.97826086956522,165,6,23,1637,0.000895578893005403,0.3282512741620292,36.65241295051924,1827868,16152.95,4
7/23/2020,17.065217391304348,141,9,20,1661,0.0009087089439718842,0.4923769112430438,54.18422636965683,1827868,16152.95,4
7/24/2020,14.345238095238097,142,5,24,1670,0.0009136327130843146,0.2735427284683577,29.940119760479046,1827868,16152.95,4
7/27/2020,9.437500000000002,175,11,18,1677,0.0009174623112828717,0.6017940026303868,65.5933214072749,1827868,16152.95,4
7/28/2020,9.291666666666668,136,8,31,1657,0.0009065206021441374,0.4376683655493722,48.280024140012074,1827868,16152.95,4
7/29/2020,17.826086956521742,113,5,24,1616,0.000884090098409732,0.2735427284683577,30.940594059405946,1827868,16152.95,4
7/30/2020,20.404761904761905,130,11,22,1611,0.0008813546711250484,0.6017940026303868,68.28057107386716,1827868,16152.95,4
7/31/2020,18.625,118,8,19,1601,0.0008758838165556813,0.4376683655493722,49.968769519050596,1827868,16152.95,4
8/3/2020,19.43154761904762,115,11,15,1564,0.0008556416546490228,0.6017940026303868,70.33248081841433,1827868,16152.95,4
8/4/2020,22.91304347826087,101,11,20,1498,0.0008195340144911996,0.6017940026303868,73.43124165554072,1827868,16152.95,4
8/5/2020,13.571428571428573,142,13,16,1476,0.0008074981344385918,0.7112110940177299,88.0758807588076,1827868,16152.95,4
8/6/2020,19.75,113,11,9,1444,0.000789991399816617,0.6017940026303868,76.17728531855956,1827868,16152.95,4
8/7/2020,13.520833333333332,109,9,23,1411,0.0007719375797377053,0.4923769112430438,63.78454996456414,1827868,16152.95,4
8/10/2020,22.934782608695656,109,9,15,1331,0.0007281707431827681,0.4923769112430438,67.618332081142,1827868,16152.95,4
8/11/2020,18.690476190476197,130,10,19,1325,0.0007248882304411479,0.5470854569367154,75.47169811320755,1827868,16152.95,4
8/12/2020,15.98793859649123,118,10,23,1333,0.0007292649140966416,0.5470854569367154,75.01875468867215,1827868,16152.95,4
8/13/2020,19.645833333333336,100,6,14,1309,0.0007161348631301602,0.3282512741620292,45.83651642475172,1827868,16152.95,4
8/14/2020,25.74094202898551,126,9,17,1317,0.0007205115467856541,0.4923769112430438,68.33712984054671,1827868,16152.95,4
8/17/2020,23.904761904761905,139,10,15,1331,0.0007281707431827681,0.5470854569367154,75.13148009015778,1827868,16152.95,4
8/18/2020,20.66576086956522,142,5,19,1374,0.0007516954178310469,0.2735427284683577,36.390101892285294,1827868,16152.95,4
8/19/2020,19.333333333333336,160,6,17,1395,0.0007631842124267179,0.3282512741620292,43.01075268817203,1827868,16152.95,4
8/20/2020,20.0625,117,4,21,1401,0.0007664667251683383,0.2188341827746861,28.551034975017853,1827868,16152.95,4
8/21/2020,20.104166666666664,133,4,23,1430,0.000782332203419503,0.2188341827746861,27.97202797202797,1827868,16152.95,4
8/24/2020,15.708333333333332,159,10,15,1482,0.0008107806471802122,0.5470854569367154,67.47638326585695,1827868,16152.95,4
8/25/2020,16.916666666666664,151,11,25,1500,0.000820628185405073,0.6017940026303868,73.33333333333333,1827868,16152.95,4
8/26/2020,17.083333333333332,145,7,17,1530,0.0008370407491131744,0.3829598198557007,45.7516339869281,1827868,16152.95,4
8/27/2020,11.406702898550725,132,9,22,1559,0.0008529062273643392,0.4923769112430438,57.72931366260425,1827868,16152.95,4
8/28/2020,21.108695652173914,128,3,17,1562,0.0008545474837351494,0.1641256370810146,19.206145966709347,1827868,16152.95,4
