Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP,Cluster
10/27/2020,30.291666666666664,338,11,16,2982,0.0016314088325852852,0.6017940026303868,36.88799463447351,1827868,16152.95,5
10/28/2020,23.980952380952377,335,10,24,3136,0.0017156599929535393,0.5470854569367154,31.887755102040817,1827868,16152.95,5
11/23/2020,26.166666666666664,337,18,45,2822,0.0015438751594754106,0.9847538224860876,63.78454996456414,1827868,16152.95,5
11/24/2020,38.89583333333333,390,10,33,2952,0.0016149962688771836,0.5470854569367154,33.87533875338754,1827868,16152.95,5
11/25/2020,42.01902173913044,375,19,38,3048,0.0016675164727431085,1.0394623681797592,62.335958005249346,1827868,16152.95,5
11/26/2020,35.171195652173914,353,15,32,3133,0.0017140187365827296,0.820628185405073,47.87743376954995,1827868,16152.95,5
11/27/2020,40.571428571428584,417,20,40,3304,0.0018075703497189078,1.0941709138734308,60.53268765133172,1827868,16152.95,5
11/30/2020,30.1875,514,15,31,3851,0.0021068260946632907,0.820628185405073,38.95092183848351,1827868,16152.95,5
12/1/2020,22.37083333333333,585,26,38,4147,0.002268763389916559,1.4224221880354597,62.69592476489028,1827868,16152.95,5
12/2/2020,18.541666666666664,587,13,25,4521,0.00247337335081089,0.7112110940177299,28.754700287547003,1827868,16152.95,5
12/3/2020,23.833333333333336,625,14,33,4867,0.002662664918910993,0.7659196397114014,28.765153071707417,1827868,16152.95,5
12/5/2020,13.6875,408,16,43,5552,0.003037418456912644,0.8753367310987444,28.818443804034576,1827868,16152.95,5
12/8/2020,30.375,673,18,44,6314,0.00345429757509842,0.9847538224860876,28.508077288565094,1827868,16152.95,5
12/12/2020,25.895833333333336,401,18,50,7686,0.004204898822015594,0.9847538224860876,23.4192037470726,1827868,16152.95,5
12/19/2020,30.16666666666667,359,28,56,8597,0.0047032936732849424,1.5318392794228028,32.56950098871699,1827868,16152.95,5
12/24/2020,34.4375,691,30,63,8776,0.004801221970076614,1.641256370810146,34.18413855970829,1827868,16152.95,5
1/9/2021,23.75,553,37,42,10941,0.005985661984344603,2.0242161906658467,33.817749748651856,1827868,16152.95,5
1/16/2021,26.291666666666664,675,44,59,13639,0.007461698547159861,2.4071760105215474,32.26042965026761,1827868,16152.95,5
1/23/2021,28.85416666666667,586,50,55,12491,0.006833644442596511,2.7354272846835768,40.02882075094068,1827868,16152.95,5
1/29/2021,11.583333333333336,675,35,53,10364,0.005669993675692118,1.914799099278504,33.770744886144335,1827868,16152.95,5
1/30/2021,13.479166666666664,368,32,55,10063,0.005505320953154167,1.7506734621974889,31.799662128589887,1827868,16152.95,5
2/3/2021,16.520833333333332,690,33,36,8634,0.0047235358351916,1.8053820078911609,38.220986796386384,1827868,16152.95,5
2/4/2021,18.95833333333333,709,30,42,8477,0.004637643418452536,1.641256370810146,35.38987849475051,1827868,16152.95,5
2/5/2021,16.72222222222222,630,26,40,8233,0.004504154566959977,1.4224221880354597,31.58022592007773,1827868,16152.95,5
2/9/2021,15.354166666666664,651,25,41,7355,0.004023813535769541,1.3677136423417884,33.99048266485384,1827868,16152.95,5
2/10/2021,13.1875,504,26,31,7055,0.0038596878986885273,1.4224221880354597,36.8532955350815,1827868,16152.95,5
2/11/2021,6.2142857142857135,454,20,31,6761,0.003698844774349132,1.0941709138734308,29.581422866439876,1827868,16152.95,5
2/12/2021,5.739130434782608,534,35,46,6619,0.0036211586394641186,1.914799099278504,52.87807825955583,1827868,16152.95,5
2/15/2021,6.782608695652174,487,20,36,6777,0.00370759814166012,1.0941709138734308,29.511583296443852,1827868,16152.95,5
2/16/2021,7.0,468,33,51,6433,0.00351940074447389,1.8053820078911609,51.297994714752065,1827868,16152.95,5
2/17/2021,4.833333333333333,455,24,43,6200,0.0033919298330076352,1.3130050966481168,38.70967741935485,1827868,16152.95,5
2/18/2021,11.041666666666664,451,27,35,5941,0.003250234699661026,1.4771307337291315,45.44689446221175,1827868,16152.95,5
2/19/2021,17.4047619047619,400,19,29,5712,0.0031249521300225178,1.0394623681797592,33.26330532212885,1827868,16152.95,5
2/22/2021,17.0625,552,29,42,5366,0.0029356605619224145,1.5865478251164746,54.04398061871039,1827868,16152.95,5
2/23/2021,13.479166666666664,464,20,38,5183,0.0028355439233029955,1.0941709138734308,38.58769052672198,1827868,16152.95,5
2/24/2021,14.770833333333336,435,25,36,5104,0.0027923241722049947,1.3677136423417884,48.981191222570544,1827868,16152.95,5
2/25/2021,13.88095238095238,406,17,26,5061,0.0027687994975567165,0.9300452767924162,33.5901995653033,1827868,16152.95,5
2/26/2021,29.57971014492754,423,12,15,4960,0.002713543866406108,0.6565025483240584,24.193548387096772,1827868,16152.95,5
3/1/2021,31.52083333333333,472,9,39,4901,0.0026812658244468428,0.4923769112430438,18.363599265456028,1827868,16152.95,5
3/2/2021,23.05615942028986,456,16,30,4905,0.002683454166274589,0.8753367310987444,32.61977573904179,1827868,16152.95,5
3/3/2021,22.976190476190478,449,19,38,4905,0.002683454166274589,1.0394623681797592,38.735983690112135,1827868,16152.95,5
3/4/2021,29.52083333333333,526,22,29,4977,0.002722844319174032,1.2035880052607737,44.203335342575855,1827868,16152.95,5
3/5/2021,33.68939393939394,389,26,29,4953,0.002709714268207551,1.4224221880354597,52.49343832020998,1827868,16152.95,5
3/8/2021,25.458333333333336,405,16,41,4893,0.002676889140791348,0.8753367310987444,32.699775189045575,1827868,16152.95,5
3/9/2021,24.095238095238088,372,8,20,4813,0.002633122304236411,0.4376683655493722,16.6216496987326,1827868,16152.95,5
3/11/2021,30.881340579710148,372,16,37,4637,0.0025368352638155487,0.8753367310987444,34.50506793185249,1827868,16152.95,5
3/12/2021,28.479166666666664,347,10,22,4558,0.0024936155127175483,0.5470854569367154,21.939447125932432,1827868,16152.95,5
3/16/2021,23.70471014492753,419,13,25,4137,0.002263292535347192,0.7112110940177299,31.423737007493354,1827868,16152.95,5
3/17/2021,17.291666666666668,388,14,31,4083,0.0022337499206726086,0.7659196397114014,34.28851334802841,1827868,16152.95,5
3/18/2021,23.583333333333336,402,8,22,3968,0.002170835093124886,0.4376683655493722,20.161290322580644,1827868,16152.95,5
3/19/2021,28.875,364,19,24,3935,0.002152781273045975,1.0394623681797592,48.284625158831005,1827868,16152.95,5
