Fecha,promedioGasNOX,Infectados,Defunciones
1/1/2020,3547.826086956522,0,0
1/2/2020,2228.5714285714284,0,0
1/3/2020,5350.0,0,0
1/4/2020,5745.833333333334,0,0
1/5/2020,6345.833333333334,0,0
1/6/2020,10770.833333333332,0,0
1/7/2020,8360.86956521739,0,0
1/8/2020,6633.333333333333,0,0
1/9/2020,11270.833333333332,0,0
1/10/2020,8691.666666666668,0,0
1/11/2020,7675.0,0,0
1/12/2020,5204.166666666666,0,0
1/13/2020,6743.478260869566,0,0
1/14/2020,7304.7619047619055,0,0
1/15/2020,5420.833333333334,0,0
1/16/2020,4366.666666666666,0,0
1/17/2020,5004.166666666666,0,0
1/18/2020,5970.833333333334,0,0
1/19/2020,3273.913043478261,0,0
1/20/2020,4942.857142857143,0,0
1/21/2020,7000.0,0,0
1/22/2020,7733.333333333333,0,0
1/23/2020,6525.0,0,0
1/24/2020,4379.166666666666,0,0
1/25/2020,5004.347826086956,0,0
1/26/2020,6695.2380952380945,0,0
1/27/2020,6859.999999999999,0,0
1/28/2020,6204.166666666666,0,0
1/29/2020,5150.0,0,0
1/30/2020,6400.0,0,0
1/31/2020,5447.826086956522,0,0
2/1/2020,7147.619047619048,0,0
2/2/2020,5737.5,0,0
2/3/2020,2766.666666666667,0,0
2/4/2020,3354.5454545454545,0,0
2/5/2020,0.0,0,0
2/6/2020,0.0,0,0
2/7/2020,0.0,0,0
2/8/2020,0.0,0,0
2/9/2020,0.0,0,0
2/10/2020,0.0,0,0
2/11/2020,0.0,0,0
2/12/2020,0.0,0,0
2/13/2020,0.0,0,0
2/14/2020,7200.0,0,0
2/15/2020,5920.833333333334,0,0
2/16/2020,5241.666666666666,0,0
2/17/2020,7541.666666666667,0,0
2/18/2020,7930.434782608695,0,0
2/19/2020,9585.714285714286,0,0
2/20/2020,5812.5,0,0
2/21/2020,3895.8333333333335,0,0
2/22/2020,4845.833333333334,0,0
2/23/2020,5679.166666666666,0,0
2/24/2020,5382.608695652174,2,0
2/25/2020,4690.476190476191,0,0
2/26/2020,5741.666666666666,1,0
2/27/2020,4750.0,4,0
2/28/2020,5986.95652173913,1,0
2/29/2020,5954.166666666666,0,0
3/1/2020,4565.217391304348,0,0
3/2/2020,5800.0,0,0
3/3/2020,5779.166666666666,3,1
3/4/2020,4773.684210526316,3,0
3/5/2020,5704.166666666666,4,0
3/6/2020,4995.833333333334,1,0
3/7/2020,4591.304347826087,2,0
3/8/2020,4066.6666666666665,3,0
3/9/2020,4675.0,2,0
3/10/2020,5008.333333333334,3,0
3/11/2020,6541.666666666667,16,0
3/12/2020,6800.0,23,0
3/13/2020,6660.869565217391,27,1
3/14/2020,4447.619047619048,22,0
3/15/2020,3437.5,10,0
3/16/2020,3533.3333333333335,27,0
3/17/2020,6266.666666666666,36,1
3/18/2020,7137.5,32,0
