Fecha,promedioGasNOX,Infectados,Defunciones
1/1/2020,995.6521739130435,0,0
1/2/2020,757.1428571428571,0,0
1/3/2020,1870.8333333333333,0,0
1/4/2020,4329.166666666666,0,0
1/5/2020,4870.833333333334,0,0
1/6/2020,8537.5,0,0
1/7/2020,7260.869565217391,0,0
1/8/2020,5157.142857142857,0,0
1/9/2020,9450.0,0,0
1/10/2020,6670.833333333333,0,0
1/11/2020,6226.086956521739,0,0
1/12/2020,3991.6666666666665,0,0
1/13/2020,7460.869565217391,0,0
1/14/2020,4966.666666666666,0,0
1/15/2020,4887.5,0,0
1/16/2020,3052.3809523809527,0,0
1/17/2020,4012.5,0,0
1/18/2020,5212.5,0,0
1/19/2020,2491.304347826087,0,0
1/20/2020,0.0,0,0
1/21/2020,0.0,0,0
1/22/2020,0.0,0,0
1/23/2020,0.0,0,0
1/24/2020,0.0,0,0
1/25/2020,0.0,0,0
1/26/2020,0.0,0,0
1/27/2020,0.0,0,0
1/28/2020,0.0,0,0
1/29/2020,0.0,0,0
1/30/2020,0.0,0,0
1/31/2020,0.0,0,0
2/1/2020,0.0,0,0
2/2/2020,0.0,0,0
2/3/2020,0.0,0,0
2/4/2020,0.0,0,0
2/5/2020,870.8333333333334,0,0
2/6/2020,986.9565217391305,0,0
2/7/2020,5200.0,0,0
2/8/2020,4483.333333333334,0,0
2/9/2020,3891.6666666666665,0,0
2/10/2020,6304.166666666666,0,0
2/11/2020,6000.0,0,0
2/12/2020,2026.086956521739,0,0
2/13/2020,5288.235294117647,0,0
2/14/2020,4330.434782608695,0,0
2/15/2020,4833.333333333334,0,0
2/16/2020,4462.5,0,0
2/17/2020,6875.0,0,0
2/18/2020,8669.565217391304,0,0
2/19/2020,6500.0,0,0
2/20/2020,3314.2857142857147,0,0
2/21/2020,3262.5,0,0
2/22/2020,3941.6666666666665,0,0
2/23/2020,3783.3333333333335,0,0
2/24/2020,4813.04347826087,2,0
2/25/2020,2485.714285714286,0,0
2/26/2020,3108.333333333333,1,0
2/27/2020,3012.5,4,0
2/28/2020,3612.5,1,0
2/29/2020,3608.3333333333335,0,0
3/1/2020,3452.173913043478,0,0
3/2/2020,4114.285714285715,0,0
3/3/2020,2450.0,3,1
3/4/2020,1283.3333333333335,3,0
3/5/2020,4683.333333333334,4,0
3/6/2020,2325.0,1,0
3/7/2020,2804.3478260869565,2,0
3/8/2020,3490.4761904761904,3,0
3/9/2020,3920.8333333333335,2,0
3/10/2020,2595.0,3,0
3/11/2020,3837.5,16,0
3/12/2020,5687.5,23,0
3/13/2020,4365.217391304348,27,1
3/14/2020,4638.095238095238,22,0
3/15/2020,3195.833333333333,10,0
3/16/2020,2420.833333333333,27,0
3/17/2020,4591.666666666666,36,1
3/18/2020,4558.333333333334,32,0
3/19/2020,5430.434782608695,64,0
3/20/2020,1993.3333333333333,36,0
3/21/2020,2575.0,22,0
3/22/2020,2525.0,18,1
3/23/2020,3737.5,44,1
3/24/2020,4975.0,64,0
3/25/2020,5173.913043478261,46,1
3/26/2020,3528.5714285714284,71,3
3/27/2020,2479.166666666667,64,4
3/28/2020,2645.833333333333,61,2
3/29/2020,1712.5,37,2
3/30/2020,1858.3333333333333,78,4
3/31/2020,2913.0434782608695,59,7
4/1/2020,2604.7619047619046,69,6
4/2/2020,2129.166666666667,83,6
4/3/2020,2870.833333333333,95,7
4/4/2020,2741.666666666667,64,6
4/5/2020,2121.7391304347825,56,6
4/6/2020,1730.4347826086957,140,15
4/7/2020,2538.095238095238,142,11
4/8/2020,2837.5,133,6
4/9/2020,2365.2173913043475,145,17
4/10/2020,2100.0,169,26
4/11/2020,1945.8333333333333,123,24
4/12/2020,895.6521739130435,120,11
4/13/2020,3080.952380952381,284,16
4/14/2020,2373.913043478261,263,26
4/15/2020,1604.1666666666667,244,26
4/16/2020,1245.8333333333335,264,27
4/17/2020,1866.6666666666667,355,23
4/18/2020,2595.6521739130435,204,31
4/19/2020,2061.904761904762,208,40
4/20/2020,1850.0,482,39
4/21/2020,2295.833333333333,470,50
4/22/2020,1775.0,440,35
4/23/2020,2066.666666666667,396,51
4/24/2020,2330.4347826086955,557,58
4/25/2020,2214.285714285714,293,74
4/26/2020,1304.1666666666665,256,74
4/27/2020,1508.3333333333335,530,62
4/28/2020,1920.8333333333333,599,55
4/29/2020,2259.090909090909,627,97
4/30/2020,1356.5217391304348,589,94
5/1/2020,3047.6190476190473,379,100
5/2/2020,3270.8333333333335,347,70
5/3/2020,1895.8333333333333,319,85
5/4/2020,1816.6666666666667,773,84
5/5/2020,1375.0,615,98
5/6/2020,1760.8695652173915,720,102
5/7/2020,2061.904761904762,751,83
5/8/2020,1908.3333333333333,826,99
5/9/2020,1904.3478260869567,425,92
5/10/2020,1395.6521739130435,395,106
5/11/2020,1962.5,855,96
5/12/2020,2721.7391304347825,864,120
5/13/2020,2623.809523809524,916,110
5/14/2020,2333.333333333333,833,130
5/15/2020,2320.833333333333,975,126
5/16/2020,1850.0,628,122
5/17/2020,1816.6666666666667,383,145
5/18/2020,1386.9565217391305,1113,141
5/19/2020,2785.714285714286,1060,127
5/20/2020,2179.166666666667,1072,107
5/21/2020,2250.0,994,139
5/22/2020,2362.5,949,115
5/23/2020,2508.333333333333,506,114
5/24/2020,1134.7826086956522,388,129
5/25/2020,2300.0,1066,126
5/26/2020,1320.8333333333335,938,123
5/27/2020,2526.086956521739,1004,109
5/28/2020,2162.5,857,120
5/29/2020,1908.3333333333333,957,111
5/30/2020,1247.8260869565217,566,102
5/31/2020,1371.4285714285713,432,130
6/1/2020,1766.6666666666667,1089,114
6/2/2020,1345.8333333333335,938,104
6/3/2020,1129.1666666666665,1002,120
6/4/2020,1462.5,946,112
6/5/2020,1395.6521739130435,959,105
6/6/2020,1261.904761904762,542,115
6/7/2020,700.0,402,109
6/8/2020,875.0,1031,124
6/9/2020,2304.166666666667,1005,104
6/10/2020,2383.333333333333,962,109
6/11/2020,1139.1304347826087,880,112
6/12/2020,1223.8095238095236,926,114
6/13/2020,1091.6666666666665,417,119
6/14/2020,1304.1666666666665,346,103
6/15/2020,1512.5,925,76
6/16/2020,1650.0,991,114
6/17/2020,1486.9565217391305,955,106
6/18/2020,1533.3333333333335,941,98
6/19/2020,1429.1666666666665,884,89
6/20/2020,1795.8333333333333,448,66
6/21/2020,1933.3333333333333,274,92
6/22/2020,1950.0,878,72
6/23/2020,1945.4545454545453,888,69
6/24/2020,1800.0,806,57
6/25/2020,1095.8333333333335,838,62
6/26/2020,2166.666666666667,923,73
6/27/2020,2341.666666666667,377,83
6/28/2020,904.1666666666666,318,63
6/29/2020,2291.304347826087,982,56
6/30/2020,2019.047619047619,941,71
7/1/2020,812.5,1012,75
7/2/2020,1429.1666666666665,886,59
7/3/2020,2008.3333333333333,948,63
7/4/2020,1865.2173913043478,387,73
7/5/2020,2291.304347826087,242,62
7/6/2020,2585.0,1007,73
7/7/2020,2045.8333333333333,965,74
7/8/2020,1195.8333333333335,960,49
7/9/2020,2347.3684210526317,755,58
7/10/2020,2787.5,883,47
7/11/2020,2056.521739130435,418,58
7/12/2020,2038.095238095238,264,67
7/13/2020,2779.166666666667,1086,55
7/14/2020,2500.0,943,67
7/15/2020,2186.9565217391305,1229,72
7/16/2020,2812.5,1151,56
7/17/2020,1756.5217391304348,1195,55
7/18/2020,1909.5238095238094,669,64
7/19/2020,2316.666666666667,273,57
7/20/2020,2920.833333333333,1169,54
7/21/2020,2625.0,1173,53
7/22/2020,2365.2173913043475,1210,42
7/23/2020,1873.913043478261,1131,53
7/24/2020,1523.8095238095236,1078,44
7/25/2020,1745.8333333333333,565,59
7/26/2020,1066.6666666666665,269,53
7/27/2020,850.0,1074,50
7/28/2020,1241.6666666666665,1076,47
7/29/2020,1982.6086956521738,1088,35
7/30/2020,2495.2380952380954,1062,58
7/31/2020,2629.166666666667,950,46
8/1/2020,3068.1818181818185,549,47
8/2/2020,2758.333333333333,269,53
8/3/2020,2104.166666666667,880,56
8/4/2020,3043.478260869565,1043,54
8/5/2020,1595.2380952380952,1024,60
8/6/2020,2362.5,931,42
8/7/2020,1725.0,1009,52
