Estado,Fecha,Infectados,Curados,Defunciones,Acumulado,Poblacion,TIncidencia,promedioCO,promedioO3,promedioSO2,promedioCOEsc,promedioO3Esc,promedioSO2Esc,Cluster
Ciudad de México,2020-10-19,1879,999,55,15179,8918653,0.001701938622346,0.326534614923943,0.708333333333333,0.9494949494949492,326.53461492394297,708.333333333333,949.4949494949491,3
Ciudad de México,2020-10-20,1982,1171,44,15946,8918653,0.001787938156132,0.244153020892151,0.683333333333333,1.0,244.153020892151,683.333333333333,1000.0,3
Ciudad de México,2020-10-23,1893,1168,52,17712,8918653,0.001985950120495,0.302252471236428,0.9642857142857142,0.6396694214876031,302.252471236428,964.285714285714,639.669421487603,3
Ciudad de México,2020-10-26,1986,1214,49,18671,8918653,0.002093477568866,0.411279784981678,0.892857142857143,1.0,411.279784981678,892.8571428571429,1000.0,3
Ciudad de México,2020-10-27,1925,1328,41,19227,8918653,0.002155818821519,0.383074450801724,1.0,0.96078431372549,383.074450801724,1000.0,960.7843137254902,3
Ciudad de México,2020-10-28,1950,1173,60,19944,8918653,0.002236212127549,0.36451914098972904,0.9523809523809521,0.9841269841269841,364.519140989729,952.380952380952,984.126984126984,3
Ciudad de México,2020-11-03,2163,1920,40,19302,8918653,0.0021642281631539997,0.25358282068808397,1.0,0.8347370766488409,253.58282068808398,1000.0,834.7370766488409,3
Ciudad de México,2020-11-04,2003,1702,64,19539,8918653,0.00219080168272,0.31244019138756,0.8795918367346941,0.9285714285714292,312.44019138756,879.5918367346941,928.571428571429,3
Ciudad de México,2020-11-05,1958,1734,58,19705,8918653,0.0022094143588720005,0.28758234519104103,0.9375,0.933333333333333,287.582345191041,937.5,933.333333333333,3
Ciudad de México,2020-11-09,2411,1936,54,20050,8918653,0.0022480973303929995,0.395518130497813,0.9047619047619051,0.947889147889148,395.51813049781305,904.761904761905,947.8891478891479,3
Ciudad de México,2020-11-10,2336,1869,58,20459,8918653,0.0022939562734419997,0.39352856986009205,0.958333333333333,0.9422657952069721,393.52856986009203,958.333333333333,942.265795206972,3
Ciudad de México,2020-11-11,2142,1897,52,20652,8918653,0.0023155963125820003,0.416191963494595,0.958333333333333,0.91657848324515,416.19196349459503,958.333333333333,916.57848324515,3
Ciudad de México,2020-11-12,2025,1662,76,20939,8918653,0.002347776059905,0.41405573593073597,0.95,0.8485164835164829,414.05573593073603,950.0,848.516483516483,3
Ciudad de México,2020-11-13,2031,1503,67,21400,8918653,0.002399465479821,0.392422671395026,0.9,0.9047619047619051,392.42267139502604,900.0,904.761904761905,3
Ciudad de México,2020-11-17,2513,2106,64,21815,8918653,0.0024459971702,0.209731280193237,1.0,0.6244588744588749,209.731280193237,1000.0,624.458874458875,3
Ciudad de México,2020-11-18,2173,1941,70,21977,8918653,0.0024641613481319997,0.267604029424682,0.984375,0.7099567099567099,267.604029424682,984.375,709.9567099567099,3
Ciudad de México,2020-11-19,1999,1897,67,22012,8918653,0.002468085707561,0.321409161490683,0.984375,0.8746542259066891,321.409161490683,984.375,874.654225906689,3
Ciudad de México,2020-11-20,2091,1717,75,22311,8918653,0.002501610949546,0.40778318903318894,0.8310689310689309,1.0,407.783189033189,831.068931068931,1000.0,3
Ciudad de México,2020-11-23,2854,2335,85,23215,8918653,0.002602971547385,0.282572228496141,0.908333333333333,0.989473684210526,282.572228496141,908.333333333333,989.473684210526,3
Ciudad de México,2020-11-24,2961,2268,70,23838,8918653,0.0026728251452320007,0.443975005472684,0.912222222222222,1.0,443.975005472684,912.222222222222,1000.0,3
Ciudad de México,2020-11-25,2741,2052,82,24445,8918653,0.0027408847501970003,0.394164327092295,0.8888888888888891,0.991666666666667,394.164327092295,888.888888888889,991.666666666667,3
Ciudad de México,2020-11-26,2800,1950,76,25219,8918653,0.002827669155869,0.390881556864823,0.9292929292929291,0.971533516988063,390.881556864823,929.2929292929289,971.5335169880631,3
Ciudad de México,2020-11-27,3054,1951,87,26235,8918653,0.002941587703883,0.461074272877678,0.962962962962963,0.991666666666667,461.07427287767797,962.9629629629629,991.666666666667,3
Ciudad de México,2020-11-30,3712,380,98,30312,8918653,0.0033987195151550004,0.32264081027668,1.0,1.0,322.64081027668,1000.0,1000.0,3
Ciudad de México,2020-12-01,3975,2438,113,31736,8918653,0.003558384881663,0.313006220673555,0.9259259259259259,0.8709956709956709,313.006220673555,925.9259259259261,870.9956709956709,3
Ciudad de México,2020-12-05,2760,1165,81,40264,8918653,0.004514583087827,0.27722459679696504,1.0,0.577253049980323,277.224596796965,1000.0,577.253049980323,3
Ciudad de México,2020-12-12,2858,1549,124,52867,8918653,0.0059276888561540005,0.407076023391813,0.916666666666667,0.933794466403162,407.07602339181295,916.666666666667,933.7944664031619,3
Ciudad de México,2020-12-19,2929,2655,150,58652,8918653,0.006576329407590999,0.4186687795741,0.792857142857143,0.7541547958214619,418.66877957410003,792.8571428571429,754.1547958214619,3
Ciudad de México,2020-12-26,1929,2725,176,53152,8918653,0.005959644354366,0.338917644352427,0.8380952380952379,0.912185354691076,338.917644352427,838.0952380952381,912.1853546910761,3
Ciudad de México,2021-01-02,1880,2771,193,49019,8918653,0.0054962335680059995,0.442157242063492,0.7619047619047621,0.834427521008403,442.157242063492,761.9047619047619,834.427521008403,3
Ciudad de México,2021-01-09,3904,1758,188,63295,8918653,0.007096923717068001,0.32477923461874897,0.73968253968254,0.8436217354981659,324.779234618749,739.68253968254,843.621735498166,3
